nr,start,end,cwt1,cwt2,cwt3,cwt4,cwt5,cwt6,cwt7,cwt8,cwt9,cwt10,cwt11,cwt12,cwt13,cwt14,cwt15,cwt16,cwt17,cwt18,cwt19,cwt20,stft1,stft2,stft3,stft4,stft5,stft6,stft7,stft8,stft9,stft10
0,0,32,47000.63324032083,110677.70363694312,186018.6964891891,151468.40735677985,160151.82689923703,224658.45592658003,293790.4269222174,318804.30693187116,306550.38694548095,285550.7579039093,272781.12018430635,267240.30979619897,258683.06094848432,238876.74680834706,206881.37897937308,167576.57219236673,127614.5518839134,92256.05295356436,64145.36519824186,43591.18993648022,13879533.011181977,6208326.913738081,5067600.1205199165,1058233.5037785566,1462857.3023719501,986554.9964605154,2233485.8448235868,2676017.828174638,1678116.6240773133,1393629.1917896518
1,16,48,40033.557468835315,114243.77633316505,192477.79278355287,154591.77359215068,162343.84605069156,227233.65227492928,295527.5511611806,318066.53354992677,302704.2660284574,278746.6490996306,263468.6063337713,256170.70377231887,246968.61079286027,227759.91428771155,197361.44774317558,160172.22367758138,122359.3118290892,88850.47244182568,62145.95401089115,42556.366090229196,13815092.288908252,6279479.867682114,5270094.105075659,1052855.7517996107,1386129.6955291892,861223.6961679626,1724378.2981747857,2091148.3010297527,1329303.1318986185,1194918.3237928639
2,32,64,37448.76474437637,112786.3041882818,189373.7503116457,154405.04842571117,164980.56658602445,232120.4742976291,300712.9557312961,321803.5076071374,304528.4943644365,279146.83078150457,263268.0178977047,256072.1298923884,247317.53643380787,228568.6946678939,198471.56666143608,161394.5943372306,123543.89210370264,89905.8998296541,63034.30302062273,43277.43583023545,13830967.308727507,6240610.423899983,5194189.488472397,1050470.1496662188,1334984.613228275,813983.8406137286,1605276.7035302166,1997509.583551497,1537111.8668357073,1487370.5890977348
3,48,80,39458.41983090498,110171.81760834802,186398.39101429778,154061.05088881106,164336.477707994,229672.75748522033,297280.9675840929,319062.9808185121,303779.6863270317,280918.95418609056,267419.5881051327,261967.0518561721,254036.63267931232,235184.7867209009,204296.58020108737,166086.7963510089,127067.17553513762,92413.45307855435,64753.09077035817,44430.9006247181,13860042.755368086,6217974.021020623,5066967.253718641,1036594.4972060382,1349468.7969984422,812723.8725783488,1683631.427208894,2162715.298467616,1676345.8667806326,1551283.6897651034
4,64,96,43789.381169013446,118388.21275222635,207010.05890534015,170031.59140251143,172255.4547350531,231118.38560271243,293509.79094385856,312149.5576110317,295965.21310499514,273406.39881689986,260239.9980017936,254895.8665475924,247335.94828004838,229540.43632189048,200336.06904134137,164034.41635544185,126712.91506625038,93286.19162217113,66334.0386995504,46302.59824222269,13818002.816791704,6627858.608977506,5478729.708524223,1084153.0951381,1417445.4508446027,889168.0614179278,1721414.8845468534,2317514.205159268,1585799.4380669766,1288257.4318580965
5,80,112,48503.329941899414,121845.54628332594,212371.63550652034,174162.49712491638,176125.98079010425,235832.5507914582,297852.88187243673,314766.8992343015,296477.23885838274,271983.26226236724,257260.9625136668,250949.36015185868,243158.86074717512,225814.8840194553,197499.3321694094,162217.32271532054,125801.81196555773,93039.89065778902,66491.00680724313,46647.38841344255,13949684.240102539,6753008.244195249,5634006.112702644,1132044.028187315,1478183.1561773792,952035.0170910803,1864826.8878927613,2450593.9637608146,1765979.0306426028,1425946.692744806
6,96,128,46651.06346403823,120195.51346402003,204392.01453218778,164103.71655815776,170312.93930678832,234156.3375430888,298869.30527915736,316555.8554649993,297474.7497766358,271531.08371229254,255557.42304445678,248477.98502635342,240176.58607898373,222321.01055747014,193483.8958185637,157827.09176909673,121318.08297462466,88761.4980087678,62632.63447487698,43300.080153915675,13491867.937483031,6420245.416651081,5556462.400806714,1104656.8369188008,1452489.1485907978,933055.469516513,1763699.0103269736,2234792.0152568365,1590651.482365543,1317654.3143271427
7,112,144,44363.25314995039,117419.22562733003,197198.85862771003,157377.54898403733,164314.47663936453,227290.01701878392,291266.38038267626,309238.991890453,290901.34613514296,265625.631921884,250079.8373122485,243154.63025944633,234818.05151617518,216923.77086794277,188213.6916942045,152917.75262324262,116971.47747147095,85092.76179861109,59661.376212431496,40970.78212845348,13522159.67221668,6250422.756981115,5405018.892428172,1084674.4456228937,1396624.4785412885,945898.56479808,1990330.502571729,2568287.598422538,1706747.7661346805,1327091.479425291
8,128,160,42281.79972603365,111876.67516553093,188582.14976554902,153721.12639236156,161961.73540665643,224795.8026298604,289026.198963594,307899.15978536126,290678.8689676171,266334.1179384413,251329.9047736417,244520.70273610318,236011.2110269843,217848.6950788947,188895.7894524004,153411.34799622933,117318.26721614806,85322.51947209927,59803.454839418475,41059.09288518285,14118719.21896404,6235156.915210281,5135763.2769733975,1053259.7089357825,1344458.3317024822,910006.7363189459,1901949.274207608,2477109.2455981947,1677734.8810702676,1298778.1593987392
9,144,176,43563.5834008084,111135.58095252786,189135.5522360545,155216.31443876468,162558.01435311674,224663.4803992019,288974.5711245793,308229.67560486903,290942.5788530966,265860.63756086084,249658.17692044345,241616.4164306013,232259.43962327045,213841.69712414988,185175.37591489052,150313.85856624358,114954.163899781,83640.48470566604,58674.853540233125,40342.34095590771,13668516.60348228,6230413.890259644,5110112.995227742,1050503.3884525984,1374879.2769889033,949576.5853664445,1786552.6301443286,2214116.0090224505,1641124.9927392383,1425786.3566057263
10,160,192,46231.77194586419,109954.9288405849,185003.7857246384,150996.1573819009,159128.67000843192,220880.44198407506,284652.4232886224,303820.6385575926,286426.39152824634,260942.90789830632,244170.18829168592,235679.34471056264,226240.29243484506,208186.7376966406,180240.46971532344,146277.11687092748,111819.67068484606,81294.63950448128,56952.12700275925,39074.66040975306,12786837.900804233,6019096.530976718,5047217.147621822,1062959.5779312635,1409525.983491118,1040127.6480726274,2144769.8257477675,2654045.124224861,1850911.539185238,1630897.1692017487
11,176,208,43401.83348835616,110542.10437512537,185700.01925515354,149454.953367722,157137.34771699086,219107.9244136974,283443.68172130303,304129.2245569982,289074.5669521913,266116.896735084,251575.15282534194,244698.0805707653,236016.2692975157,217792.87686226796,188903.83648577778,153532.70920429408,117533.62076847555,85586.42781641547,60078.48757403162,41326.89306397173,13054279.93592565,6038937.013208843,5078281.330263918,1058029.2164688455,1397306.3850740024,943597.3141658908,1955286.3029887273,2517879.9587697657,1631721.7828323834,1391095.4987582385
12,192,224,48140.700888831685,115449.8555540356,193795.9060029748,155896.31299622747,165240.36852699454,230799.69089871921,297526.80666745966,318191.4338534311,301935.87408868666,277998.8735011651,263319.80768918345,256996.30569744724,248923.75499839513,230710.48762997918,200925.36890979912,163862.54735241848,125743.82583153388,91654.66383637502,64274.456699253824,44052.37310079216,13869484.840542447,6316345.628248822,5306411.267287745,1104445.5504102125,1477104.0221275617,1026624.6727039957,2116347.417458318,2640361.3575209645,1623510.7112210267,1357095.5924428068
13,208,240,48456.7958859645,112168.9573015963,189484.7409281679,156033.65977318236,165490.52657853116,229597.03225017915,295020.6929971782,314406.1380985687,296661.8114160128,271025.5196952887,254557.954432303,246660.97225221546,237684.87954437843,219574.7005947945,190901.66213357085,155650.31255540982,119602.14266221096,87456.36631814604,61659.97374060928,42590.638988147,13440565.506739233,6238133.992420009,5139022.642836378,1098141.0076224955,1493664.914387927,1039662.3762534279,2031496.0446651713,2686738.5136659485,1869116.5878957026,1657529.87313542
