nr,start,end,cwt1,cwt2,cwt3,cwt4,cwt5,cwt6,cwt7,cwt8,cwt9,cwt10,cwt11,cwt12,cwt13,cwt14,cwt15,cwt16,cwt17,cwt18,cwt19,cwt20,stft1,stft2,stft3,stft4,stft5,stft6,stft7,stft8,stft9,stft10
0,0,32,37169.900142929684,97099.14785461205,162858.93815814375,130724.82005561,137751.87448749007,192882.42347000545,250088.94192454594,268538.03488222597,255215.5826921243,234708.1077361441,221258.13929030226,214294.42490183204,205959.5358644395,189886.18608436687,165131.42444830725,135079.66818249566,104497.4940841811,77229.69664266294,55277.74819086692,38959.22835354547,11211366.528423363,5251673.225950026,4441067.972262241,945097.3864556225,1454209.336967645,981436.2555900903,1029474.9492467113,1399024.2346492736,1115018.7333350393,914525.8329938478
1,16,48,39124.88443320946,100316.46721231041,166614.34196201444,131845.86104238848,138197.09311654916,193273.30199982465,250836.71692765094,269855.42090600816,256949.20006141256,236740.1279648493,223803.0037417048,217627.23271421972,210032.68827704262,194286.8326152768,169314.83459079856,138613.45116297578,107174.46499130822,79053.97751827713,56386.68432608001,39538.66710083869,11273414.880303457,5304751.591110719,4585269.285038854,969371.325155797,1505803.744192273,1075496.2019534437,1047939.6004837207,1368144.7580658789,1146121.8798479165,992935.9973307402
2,32,64,39217.72821029193,100801.8526839708,168558.44162739703,134835.24393790713,141483.61167031678,196955.3392277321,254029.79585222423,271270.09854211466,255999.21083199698,233618.15264434068,219102.21184947575,212037.93908994045,204172.95711751078,188638.93927768068,164212.72702630248,134241.1612706636,103575.9448098267,76164.54273507783,54079.667665465815,37669.36314088908,11487255.266623251,5406527.547692473,4620320.320636359,972592.1702510172,1503054.1783408686,1094714.367143252,1057640.0440941516,1402503.4116464003,1310805.3681228643,1093514.8160864224
3,48,80,38727.37274326767,99582.6860966038,165187.93771952542,135596.86273074828,144427.8523345188,202497.7180259692,262625.9530910796,282253.06053399073,268299.72551023355,246487.90999098323,232158.17167302052,224943.6010114384,216416.26561236035,199614.02273360593,173454.6761202024,141579.17924368056,109126.56812033715,80223.46786547574,56999.15536388307,39773.144116228395,12015980.62872368,5520683.868639761,4512276.981140817,1024104.6203863077,1527341.4173753296,1050968.6778157002,980064.9522240912,1335690.48620693,1212812.4028972276,949742.8533995651
4,64,96,39903.67071372156,104240.66229238214,175408.43143297656,145760.98018000807,152832.1616017927,211672.2144645347,274401.59062203404,296513.5053654541,284226.6651077477,263497.457767289,250024.87943295925,243495.38928429293,235268.39607573178,218139.72685690277,190931.0872675965,157370.6786462843,122814.09015334181,91651.65460842653,66252.4067693944,47108.10872661605,12564661.882631663,5892839.925291112,4729903.599933484,1055662.1448467646,1528755.9733126871,1063001.4728031575,984386.2480278747,1304626.6815561047,1172237.5057766694,1019453.250468228
5,80,112,38564.695250455574,102545.16644671699,174750.61262893418,143790.32378082993,148411.22325063834,202654.10658189174,260595.4363124755,280065.1145475932,267777.1784533109,248633.01529313988,237023.76844759544,232013.63683838723,225069.81793612626,209322.41166535823,183740.5797568399,151943.73165327025,119061.41326832748,89292.56448466082,64922.119285024804,46459.865163571136,12107857.131218467,5744713.179560341,4696620.63939945,991317.856797044,1493675.5663522822,1019051.3094385089,978612.9920573151,1324851.8391256207,1226158.0114565322,1163511.233782552
6,96,128,38520.78314523671,97230.03472317957,161195.38486580306,129604.09619686635,134536.37784689837,184678.6939754237,237197.951270638,253890.55827684925,241967.41658824426,224645.07570333217,214781.33446893693,211004.49156150554,205116.9639876193,190673.46698072364,166802.44365627316,137038.72526704587,106328.99324757906,78694.40012857695,56285.27924735656,39524.565423631924,11238055.334243348,5214565.405971429,4440568.113213903,956799.0006495996,1506113.801996238,1048973.2212134132,1017836.4575837556,1520464.7978328345,1280408.5555029367,1156032.1279808467
7,112,144,36277.18004896998,95894.07733128773,158803.7289443157,128010.13470246296,133070.73123321973,183598.7230148077,237061.79347381974,255105.73495713988,244126.85589108575,226907.43788402333,216505.56251741055,211920.4503471844,205189.36819925372,189957.33034314698,165396.0368642703,135093.25029917454,104048.13182309618,76300.38123003619,53970.30691964874,37415.45773613394,11234879.112112092,5192143.630349455,4368648.977954627,945630.4658473502,1451277.94051504,976929.1906082776,942608.4187942059,1483475.0117135644,1210899.3290055112,962262.8534320523
8,128,160,34340.37777186175,96350.739829843,161029.77021466003,129120.20210001899,134310.30308545043,186268.01172804832,240947.77085151302,259023.83929287808,247084.19545108394,228726.86923496783,217574.84635208928,212655.97282620647,205757.66367121544,190336.23443333435,165542.65824916534,135031.97621520126,103858.98399463312,76069.86567285155,53755.83511467792,37237.54055008579,11475596.609883389,5261773.623478794,4385474.811910697,934455.3623020404,1395622.0423975976,900778.9471540304,904925.2183107123,1402415.511202762,1144380.1014790386,850713.65624445
9,144,176,35697.480932221624,99564.6640798357,164887.30588916002,130045.12383485491,135488.3901553822,188160.49172136726,243463.68563043608,261867.52269504796,249804.73981662112,231005.97326976268,219151.99532018794,213313.6361296575,205471.91012961144,189335.05217922508,164191.54028948143,133669.42700767302,102697.90673418835,75187.53482345304,53136.34257416518,36823.36272272407,11531312.64348786,5304426.844373376,4540827.810736352,950557.8625339763,1435587.3231978645,963230.7522030739,966945.2646148852,1366942.922232203,1183770.2146322331,976517.0881514205
