nr,start,end,cwt1,cwt2,cwt3,cwt4,cwt5,cwt6,cwt7,cwt8,cwt9,cwt10,cwt11,cwt12,cwt13,cwt14,cwt15,cwt16,cwt17,cwt18,cwt19,cwt20,stft1,stft2,stft3,stft4,stft5,stft6,stft7,stft8,stft9,stft10
0,0,32,34096.85543716218,108339.94269582797,180557.4469316154,146526.31999805247,154214.57131303256,213734.26865127526,275845.9519355671,295502.11975108576,280696.175537829,258825.22928893607,245507.00597434712,239458.6557037164,231112.91923605016,212975.29446027146,184231.0655734419,149237.89186846119,113845.66223476213,82617.44900406909,57804.14404017842,39629.419990761526,12738414.750604972,5856079.158072859,4987970.330421892,1011280.3925623526,1316851.6799315952,709255.60062336,962791.3258570746,1420394.452949403,1032858.8883701023,792570.9455536278
1,16,48,36101.38835816732,110440.32549431089,185142.43611426358,148784.48923542106,154223.4109849536,212290.92758732717,273447.8054341923,292527.71330006095,277427.8876507095,255440.68077505642,242141.592214617,236256.36797503073,228206.6939637671,210448.39602310184,182104.8512890125,147485.90740804645,112417.64655542024,81459.66759740806,56870.960692483975,38886.755578677235,12967894.766013542,5927104.108551738,5076046.066886007,1018636.4838947983,1351766.1359487996,750281.0969468635,1037737.1742270819,1505672.0040130941,1190413.4822965304,935800.2310048401
2,32,64,35723.29185953066,110389.78842231652,185953.6934939159,149493.80107527995,156076.04323238734,216116.63775785943,279123.93389829085,299234.7585773915,284270.8497418853,261854.4126183796,247964.15012789378,241553.64888599038,233083.48453998307,214958.94826301828,186243.4155868897,151214.10122136725,115697.4805371834,84275.95592929052,59238.27123923504,40844.75010201472,13214986.480024463,6008468.788479051,5075841.803235611,1019679.465788823,1374907.5955534698,800208.2184705695,1066475.0520652558,1622287.3746096701,1400556.9613572662,1134604.6410925158
3,48,80,34818.332720706785,110663.38258282463,187824.2247437462,154483.07786673095,164320.99996512855,228031.1766570097,293066.2510643566,312613.665925739,295726.7160082283,271328.63799781335,255996.5265803196,248733.89673298466,239727.37637939042,221056.31094088836,191606.9651998274,155662.60576622357,119164.1934626648,86826.56332942045,61030.01549225699,42067.56483464243,13142587.258321218,6128365.256927959,5110668.750851514,1015585.9127487018,1335496.2970489112,761274.9188056438,976876.1921880249,1572777.6340379314,1335455.7705547705,1017827.8341428397
4,64,96,38923.452972813604,112776.00657900365,197700.79769964542,167740.45537087935,174773.89817622898,239029.83863051285,308629.6834309309,334101.8100055489,322672.6258713096,303063.93315601494,292047.7346325711,288249.4002293677,280999.6665534102,261699.2368660114,229201.8063098541,188394.8280650922,146140.61078151094,108038.93408143711,77098.25670057631,53926.28551268683,14068043.801094007,6667116.8387965,5205349.417769583,1034775.0330482669,1375931.4620293775,809822.4074269128,1184683.3500085175,1861783.3993086484,1563517.395974215,1233382.0927042111
5,80,112,38137.9297872258,114343.57835383854,201545.89457254356,169416.33169056202,174711.1873903179,240325.56093797908,313760.65007815685,343302.72950837895,334732.14569577074,316927.51593654737,307240.3106275181,304348.4051092476,297231.37745290017,277048.8752537102,242774.02325665543,199676.30754275253,155043.39553583428,114786.17470439686,82064.54619695607,57510.033769900234,15291309.023272088,6871716.777066822,5291736.310030964,1036459.4945068184,1319683.6805395144,772128.255337027,1279074.8334963832,2048363.032337661,1675582.2005038268,1316179.7127358303
6,96,128,35410.27969054985,111903.84936646657,191048.50704215426,157498.52732493076,166222.8803070396,232838.90431479333,303229.2704372883,327234.2999163292,312589.75862021395,289084.0665265796,274375.5817454487,267644.84587987914,258629.59118431227,239031.95738080962,207768.6757463708,169458.6184109653,130443.62998020244,95743.37015628006,67904.33626447685,47274.58760580967,14032503.543372372,6339623.564793404,5175868.2747140275,1017707.9327999689,1283711.4423425256,718943.1849628527,1073044.2641576068,1696644.030924255,1417074.6522033429,1197525.4172130083
7,112,144,35855.207736174016,108758.29423434456,185122.02226983412,152497.21067799686,160532.65895111745,222025.0792755014,285289.01341149985,304195.6199223989,287720.10877830524,264432.5801088893,250458.4852098788,244415.86867115894,236368.54286069394,218478.1656436998,189739.01906634652,154464.0442237308,118552.8443968946,86663.72765725415,61151.175358033164,42325.045718655114,12831389.580030944,6023158.240943855,4999563.8827043045,1019815.5586348382,1347952.0017896304,770044.3926123017,1031740.6133838575,1555151.1365609204,1368941.4209507992,1199622.649113294
8,128,160,36203.24050369473,108641.38607343526,188020.72801878882,155199.86397298242,161007.28845200114,219251.17224207867,279034.04520250624,295258.04963665333,277424.1548556495,253677.10881252278,239638.9444729965,233902.32982071827,226678.58545775505,210075.1774008889,182827.1474806866,148973.2494744886,114255.05909739979,83299.30271234683,58501.56522385737,40229.948614640125,12867470.792097075,6066540.865191832,5000447.897654825,1017396.8395848471,1366914.5488140662,770924.9107566288,956630.4323414358,1373901.5361134412,1213250.7743502152,1047457.911365058
9,144,176,36395.73035507738,112167.67991307405,194397.77728458866,161282.02586289853,169024.33124532911,232759.69803027247,298499.43348554557,317905.98391134344,300181.5189136132,274846.4007337014,258917.11810698872,251546.98220546715,242747.25407535935,224274.50289130767,194793.25799408765,158554.11511611714,121592.57569447983,88747.30243063458,62490.67682242548,43160.56532747077,13618644.440319683,6352185.8311824715,5177775.162913739,1026634.7166883844,1338471.5457095979,762316.1943797147,1034113.267720047,1476214.3891941458,1240890.3057030735,1032612.8530694403
