nr,start,end,cwt1,cwt2,cwt3,cwt4,cwt5,cwt6,cwt7,cwt8,cwt9,cwt10,cwt11,cwt12,cwt13,cwt14,cwt15,cwt16,cwt17,cwt18,cwt19,cwt20,stft1,stft2,stft3,stft4,stft5,stft6,stft7,stft8,stft9,stft10
0,0,32,248781.41284934356,207264.09994369152,316021.86731905903,228869.1755775551,226220.2855856711,299933.2004120398,370583.1717565504,385321.3460311983,359207.3030490587,327129.2992601292,307317.52205088123,297723.7309706994,286807.15716314834,265368.3599195017,231855.06774852073,190807.0438177614,148748.71049175804,110984.6431109042,80321.56444869863,57277.19796336974,16118408.713139111,9005220.4272783,9182677.760878889,2550978.822661416,4635579.28884501,6424664.365522222,17241508.912314642,19831793.19444638,8396095.758237453,4691461.555956185
1,16,48,270874.86494503665,196135.96247511386,300976.53140978614,221706.42624026447,220228.3134692059,292892.3530467193,363246.0713630747,379415.32351795153,355454.5576187246,325149.99257654545,306451.69067028444,297540.4845437707,287151.0028286369,266199.8596047973,233111.4956038611,192365.71884521007,150458.76219746994,112709.01737960306,81961.14802578677,58775.54144468319,16298516.027833063,8845870.80333222,8638444.597222181,2490725.867813269,4667616.2578686485,6969779.908793052,19196185.609853253,23396673.93016183,10260127.888109675,5811317.371713877
2,32,64,236452.07694976678,186244.44176049245,283431.72564685566,212925.95009906436,218167.72955127058,295577.31305631995,369929.0510736594,387927.99413621856,364308.32522568747,334255.23536386027,316329.0545625519,308319.9890602426,298206.24436455464,276452.6872080359,241565.28209101775,198472.79576013424,154198.3168662047,114449.7570835939,82245.88476995632,58137.32961366818,16553985.697909305,8545022.977818647,8190889.581845912,2339171.027938327,4316829.679172005,6104949.240333452,16326239.291307347,20173892.940200403,8794387.725934172,5088233.9791726
3,48,80,226594.33170863468,186591.65651455423,280667.89259330375,212226.9899756328,218799.5083781009,293539.6439264472,364738.4208579223,380882.66715606523,356656.3747395892,326806.198770103,309627.59026288526,302747.735311548,294009.12595872435,273727.82070448523,240233.84141740232,198291.80680258485,154828.8992954193,115548.97834611345,83538.22858155124,59445.96435098131,16394872.439199263,8533336.753846081,8210740.721987429,2329005.145123066,4265602.587021597,5863383.104453259,15638616.785400042,19169557.09116086,8581794.547495514,5036705.702507113
4,64,96,210901.6296887153,192208.91309163524,295238.6065006057,224728.32902789296,228263.89245259567,299803.82056704443,367665.0894709911,382107.25384218997,357545.0971574376,327678.40822375944,310128.8995353764,302473.0773630298,292980.1943104966,272433.43610566773,239309.79948718287,198177.1855279181,155622.62632211507,117068.59751552292,85472.16917255869,61494.68917147043,16638293.195295794,8947895.437654486,8498989.631578892,2330852.2778533315,4067410.8856484685,5380026.695731974,14213258.832327027,17261742.975477308,7714905.024565565,4526548.000654862
5,80,112,228494.6897984021,197582.7392604166,307618.0850920335,234135.40828867396,233835.67306813243,306507.35050879134,377942.08547498594,394937.2039542868,371155.6557993592,341177.4231234603,323269.5629953859,315028.6162896927,304570.79408208304,282689.7439120036,248027.5014148534,205334.08782815567,161316.9814158506,121457.14873042067,88734.90034526508,63815.82581983994,17026927.208685547,9258518.575764634,8746247.37094889,2379593.5934393373,4329041.638464632,6020833.479813715,15113270.116397122,17707412.67407629,7247856.116247268,4154500.933166437
6,96,128,242640.6049369135,192837.04542130217,301795.35928725795,225863.36491814564,221607.24604032765,293133.3960346318,366813.6886842772,387420.6220520419,366639.69885020994,338408.14089506527,321445.0700395518,313854.4166340511,303787.72966716107,281851.72455262055,246661.0242937897,203182.8544752158,158434.51008449262,118125.01835294627,85304.7992575244,60576.2084558745,17127109.737479102,9083961.351846442,8558899.551645573,2314401.3839123854,4300232.9241214,6618395.434109325,17650054.205078375,21675427.74909707,9397388.71010689,5219825.836620808
7,112,144,226679.0611331612,195154.22148915628,301805.7115483379,222929.220915573,219672.54361393594,290522.77986914717,362010.45372263604,380798.70266917784,359066.15508019266,330165.77242945135,312303.7742445199,303577.50273939874,292463.0957901458,269912.45814383053,234729.85235242176,191894.12962945085,148300.3307633272,109460.28805799215,78211.23034574963,54976.181368716825,16876435.495264452,8930520.653367724,8658802.177753624,2324650.9535648907,4188536.359089798,6177938.476109372,15864420.083978286,18566194.156719178,7803645.85063939,4201064.100037205
8,128,160,243039.89406262673,194286.08514067574,291774.89434145007,216133.48515440593,218149.7910129366,291584.87183528405,363310.8289594652,380852.1876081737,357272.04659445444,326624.21912169096,307504.1389136743,298122.8231170689,286935.75135340804,264814.6037771832,230426.41318166503,188559.37245570545,145913.29761993283,107862.37233261822,77191.8260309169,54342.540295988714,16060830.394125853,8609275.612968732,8542578.457039353,2448370.416642197,4476283.730064406,6225258.385484595,15924888.033467446,18269266.015931837,7263621.657755659,3843082.5991588584
9,144,176,206976.96540471123,187096.9643549739,283618.9893939636,211505.36593161663,214676.98575114852,289306.6733630281,364011.2344259751,384992.7138921725,363416.5080302692,332984.8663602509,313039.8888707425,302512.09145605855,290217.0877799889,267173.3951540947,232108.42017719825,189810.03755771442,146923.56579660124,108742.62557499623,77980.7741280964,55036.53327955162,15640907.009809611,8445184.672914917,8260168.371734448,2298881.3994551674,3980336.6370321177,5191331.78989293,13662637.542786075,16939716.671786807,7465571.926542893,4233676.714524044
10,160,192,211039.21874286266,185415.30952542496,284102.289992683,211252.29482412923,212295.55053969554,285060.1559406823,358652.49181692995,379424.0656582951,358159.7816129026,328118.97662920976,308332.8569824895,297661.4176041336,285067.99673004675,261817.05558391497,226842.3277682312,185005.13993873826,142878.1033104268,105595.15785933785,75706.1007994121,53499.72128927461,15499538.400323315,8423791.60487868,8191271.837415272,2262237.29366667,4068020.565411708,5480542.875461731,13884179.272703368,16796729.01098964,7186644.13939943,4611739.355040592
11,176,208,248636.70373371438,193493.1030469849,291032.1955188474,213197.04117600934,213693.25199417575,287597.3075048377,361163.4128668974,379724.1985193296,356064.5330007586,324820.60726725706,304776.03411420545,294215.78950269194,281942.53664746205,259272.21154653092,225086.52327868115,184063.56279940644,142596.169029087,105739.0738358887,76066.45479043941,53944.7749478868,15601054.65053905,8570183.985605912,8519867.192061707,2424960.2984843026,4491585.154548413,6277129.944811904,16543405.987540718,19653433.894059706,8010075.169268635,4981309.371208713
12,192,224,215317.68083262755,197280.17191582677,297940.33969432994,218728.16185300422,222116.6932773874,299976.0776227135,373705.12779311225,389065.4125340402,361547.07317257294,327233.0635675594,305006.0402924852,293070.28350755735,280281.18597188935,257851.30565705948,224318.61390860626,183976.7010838138,142982.37523438348,106339.6020930625,76687.73336068552,54488.141202420375,15806781.044908358,8771368.482111767,8752638.89684344,2394014.81028941,4084967.400319747,5344830.335793758,13948198.251415499,18645836.49422222,9406101.958359621,5983290.398592114
13,208,240,216012.59507195413,196709.10275211014,296446.7602898519,218638.6516308336,220358.52085309094,294294.52024129,363399.94153682183,375991.21291980764,347807.9894547934,313764.34192354983,291970.48509732314,280569.954536731,268595.43837007775,247332.39569500383,215242.51507107745,176466.26910672672,137000.34602131727,101723.58999008412,73202.05596022912,51873.91531773427,15840584.007005386,8735859.687788228,8715093.240618458,2399800.4293974824,4002321.523057606,5573028.025133519,14552432.67071167,19686472.04160961,10051816.876558553,6115195.80818346
14,224,256,207524.17330021714,196459.45717578835,297881.87185845216,221726.49017572848,219468.1852669044,287666.3110016353,353381.92000763316,365594.665571555,338229.5364219311,304742.93007596396,282932.0752597697,271236.04898562754,259114.77517720018,238178.2702003253,206981.71810234973,169524.18585047236,131537.62746173158,97648.97462797188,70267.79775779392,49783.45185441642,15822029.665903784,8714974.01272716,8700571.040930996,2365320.755849414,3855395.4582431507,5448606.44588974,14964023.475207675,18419364.55584772,8288887.693322618,4884363.544613766
15,240,272,219233.84931067185,199007.04058945843,298702.9879816499,221427.4362677824,218402.4070129048,285994.15434835444,352951.0363825565,368442.0220285181,344519.3413400788,313460.52522986283,293177.6554755366,282496.8283611208,270894.8076459682,249784.9398690322,217656.4898734796,178686.0039711811,138923.05751785892,103301.55129528354,74435.44310142825,52798.412724304006,16287405.504480861,8766529.668224052,8742682.395346858,2479145.1928940555,4177094.0653077466,5757010.417933101,15125958.901100064,18056728.614540882,7960891.922457809,5033351.639340735
16,256,288,231665.19010787812,202155.58704418672,303127.1114079485,223196.20984987536,222296.08777950192,293214.26789345255,361582.4635133286,377034.5723246335,353578.408365018,324285.10658220126,306610.2920254512,298454.94209636195,288438.37089137564,267507.3099107933,234193.84565891957,193098.0375202407,150817.5999303237,112743.49567905325,81759.86885188836,58435.194299786475,16572642.396013936,8914521.866605263,8894588.50453055,2494881.488582159,4244404.123037448,6103487.24072126,15958096.12303966,19744737.134173304,8896322.263838006,5322707.700842379
17,272,304,202893.45671634894,199433.5807875168,302126.5908722006,227600.0327060468,232062.67086196117,308688.1355454956,380627.9999702991,396113.5447662112,370280.52956857864,338207.0007034089,318701.09391561267,309733.7694528814,299160.76196936984,277188.99879032065,242123.6171226951,198812.59734458145,154289.36297257946,114308.90737798468,81930.01056187494,57717.45963928122,17364304.054552056,9116052.59686313,8829935.378340632,2356312.264374292,3829104.11369741,5205880.779369091,14374123.603370208,18722003.41462107,9168824.399488967,5646426.778425524
18,288,320,228618.3176637685,197398.37906071395,298141.39941050985,226507.37317734168,231712.52040005836,309770.99869470106,385238.1678738395,403663.6952435867,378288.0084129546,344790.6522789563,323313.74002352107,312605.4727410628,300752.05215305305,277936.06458484876,242334.10298793626,198651.47672548602,153830.60489457543,113601.36458600836,81036.64321061439,56720.234004250546,17201447.79112245,9117148.206614928,8678326.470146744,2413877.0517912013,4093602.4492652672,5736729.00399867,15823050.407273203,20307758.99822104,9483751.697024334,5678797.491841494
