nr,start,end,cwt1,cwt2,cwt3,cwt4,cwt5,cwt6,cwt7,cwt8,cwt9,cwt10,cwt11,cwt12,cwt13,cwt14,cwt15,cwt16,cwt17,cwt18,cwt19,cwt20,stft1,stft2,stft3,stft4,stft5,stft6,stft7,stft8,stft9,stft10
0,0,32,44627.95334641033,111965.03284470903,190732.30643582565,154244.9432192467,160854.9708888757,223942.0420299435,291322.05637019646,314541.74441135157,301076.01814626175,279627.34832910844,267080.67216942005,262302.03654925694,254943.84185267703,236673.4307980671,206373.0966843565,168660.3059517367,129936.00499210434,95322.74533307397,67471.61057492373,46804.89133946815,13381854.095630432,6199359.561244014,5163425.926306715,1028928.5581859167,1565328.0958577252,1165192.857528059,1725647.4639924255,2014665.9904414783,1268381.3200095242,1070359.1947417024
1,16,48,45652.97926363665,109137.30448710309,185954.84603044402,152340.10506471194,159560.31334255845,223409.4284330141,292612.6603670672,317919.91525407624,306097.3576990614,285721.3694270584,273809.1871157695,269229.6955156926,261496.88503763732,242225.27554028953,210460.49515715093,171129.16949855987,130936.27315540124,95195.67818604992,66613.03876919158,45563.08112491521,13483648.34516206,6140279.597921502,5010670.655537612,1017221.5489700455,1580078.5055079085,1229689.313123745,1762015.2619594822,1984984.7640924342,1177726.2477596612,912967.3308184564
2,32,64,47833.99007552964,110864.46311717115,188684.04717843997,155711.3012014085,163635.69334219876,229316.09073345317,299280.2545804945,322995.8076101997,308368.313654661,285099.92331253237,270603.71126922267,264036.2905196676,255234.3348531433,235916.203795545,204921.69386813793,166799.57505427222,127889.43174838067,93261.77202515614,65519.35702402708,45037.25785678244,14192984.748995908,6287169.918144288,5077925.435966875,1043200.7031826578,1597802.092416771,1260802.6506375496,1750191.8983355085,2125836.1423516725,1410388.3994228065,1062225.1743022783
3,48,80,46437.774522969026,116923.13103724216,195020.27163313446,158185.7319433148,165523.99388052977,231206.9891004036,300572.41918176267,323589.3169516359,308496.07429000543,285106.86961461883,271002.58674417005,265432.94431432994,258076.67484461717,240284.61145105262,210509.0286769965,173058.5852132667,134231.52278552664,99209.69297895035,70777.23669677255,49489.54736119822,14450632.925571397,6405533.473244673,5335905.717073175,1125167.047934806,1547291.043885951,1143311.7203358512,1519719.4537402282,1903859.9422853882,1346152.941576399,1167852.9383998348
4,64,96,46291.48990543086,119957.6227563866,209315.53932475703,174120.15306887115,180663.40089853905,248258.7755093474,320551.77026049915,346668.82479523,334655.85091071535,314455.12736693054,303383.2525561544,299848.332348553,292660.2015328609,272832.3407011024,239131.43849523182,196605.58044479912,152397.76104590888,112390.20152745667,79797.66623559357,55329.04654892808,15139934.335691063,6919256.5967869945,5517250.137422816,1118365.686567047,1588487.0128676263,1198612.6225107582,1510633.9522737805,1785377.2052320684,1230270.8437154975,1026536.0861092611
5,80,112,45901.449316182814,118420.62613262076,211963.29397112224,176998.62840827895,184482.44244380714,253563.11987066577,326535.5572656635,352154.71481245256,339208.1913280304,318368.5463253895,307099.13099066506,303541.0808654183,296195.5740922827,275941.44049464114,241589.72273457213,198320.41632733677,153411.63329890915,112838.00376825519,79850.54710495507,55146.41732927595,15456689.302715674,7037424.400322298,5511731.394731937,1039098.4783441063,1537890.9880225537,1241698.019008142,1710786.8631268628,1936470.2518704126,1427568.3775929278,1121268.7237764283
6,96,128,47151.781654563056,115984.87190672009,199225.5160992606,162101.4511753597,169481.86579534842,235063.09088701202,303032.9978367705,324129.92984350736,307778.23148366885,284247.3376947239,270731.2325790516,265793.93750019465,258659.29447604629,240619.93538530477,210326.46497441316,172332.8153524653,133103.94771132557,97883.4174505601,69438.85067558428,48269.90514907354,14422230.99054917,6475117.394531797,5358926.270302755,1046228.1231855368,1530425.315328179,1245901.8089926983,1790930.8383728673,1988086.066569367,1546819.385340844,1389759.3054024074
7,112,144,46597.189777803695,113836.86477270321,194969.00142201976,159252.85257008518,165783.10906772022,230185.90807313324,298276.5177599398,320240.9367549661,304425.41438064916,280406.69970518857,265280.73319627444,258152.87491131207,249124.55854633232,230168.56485525455,200117.4783184639,163279.37169027198,125689.81274086231,92191.88707071205,65286.04272680895,45349.614198251526,14111917.284951182,6369725.208232771,5232177.247381748,1053452.8840365773,1602968.4413261327,1261483.9532672155,1683948.074634339,1936813.13216291,1452442.3296471038,1262272.8577204128
8,128,160,41935.7413722822,110672.90622101274,192934.40886124974,159470.72634692167,168597.60736395488,236150.24127657874,306500.68410209543,328766.079624443,311509.9124495024,285396.87123326526,268634.3245820952,260773.02019187447,251654.704114795,232744.3540151488,202536.0445567832,165278.7575281887,127124.83066610253,93068.74563020468,65711.72692110814,45462.21067310216,14072967.173838764,6416988.414892876,5117051.388303456,1001227.2729824014,1528563.8993397474,1148136.2161039547,1462013.2283865667,1767204.1506034026,1215677.6560988645,919322.6045400726
9,144,176,43424.45885730996,109679.03688831665,189789.80362167858,158710.28724193538,171036.83407992232,240099.83609237138,309639.37881649565,330305.47612253384,312103.9467948482,285989.5847617302,269703.5294015312,262285.16481709486,253305.5196138229,234187.09918948726,203528.9679541654,165742.68584385418,127122.12201111166,92741.1040491275,65217.082428508584,44932.71065507757,13901948.295846878,6365754.715370154,5062662.157211061,1012953.7013981149,1539693.4949854948,1197902.774292235,1589883.2393193434,1953405.7183860145,1522429.335127122,1447126.2495978237
