nr,start,end,cwt1,cwt2,cwt3,cwt4,cwt5,cwt6,cwt7,cwt8,cwt9,cwt10,cwt11,cwt12,cwt13,cwt14,cwt15,cwt16,cwt17,cwt18,cwt19,cwt20,stft1,stft2,stft3,stft4,stft5,stft6,stft7,stft8,stft9,stft10
0,0,32,52414.10336959169,106926.97887455633,180988.88837955045,147836.12183221948,155184.4693936466,216057.65113267238,280611.2878193818,302443.2630910119,288412.920498234,265935.62319514336,251388.35242634494,244198.15697072254,235119.18349772756,216639.66897185458,187767.3013691771,152675.99331681454,117104.39798841836,85588.27858129026,60409.58432853688,41845.8861197434,13036796.30810687,5946399.464451994,4894981.34511978,1024652.0681385961,1552066.777692886,1412870.1659256287,2495887.2463402767,2808631.862016676,1790712.738595813,1376571.7957995
1,16,48,51498.16989119067,110036.71833471094,184756.16324314065,148290.47940439757,154781.0823711363,215846.4647826536,279860.6778468971,300236.51124977926,284632.85136299464,260825.87581213715,245110.6549332876,236997.21012552563,227531.06227572158,209352.49091341815,181331.55530125703,147351.6889724423,112891.62440795534,82339.12607080999,57929.04436487677,39949.17254292608,13095654.763195883,5965111.237040376,5045322.407319404,1040766.7204534592,1545201.3066585828,1382689.5190469201,2317438.0985757853,2491439.1210754523,1686073.2866286673,1354600.060782976
2,32,64,50453.409684042585,113239.23728908219,188269.24692698018,150042.91129495387,157304.43218608596,220388.8745937776,286353.57641986216,307628.70912916673,292071.39019414235,268183.9450909344,252680.0312643895,244979.0222294408,235763.26691436622,217371.97285317737,188612.16902000186,153512.1320552362,117779.320609226,86005.6759630764,60553.81824990525,41760.67059627551,13528422.075199712,6093128.653979186,5167440.117588017,1092741.87781937,1629090.3934926486,1355500.922394327,2029057.0248744488,2256455.6164593794,1489468.4592300295,1103170.6782327462
3,48,80,51600.22326635004,111715.54604751675,190828.25809963723,158619.5657745953,164625.93957991505,225129.08056667735,290440.5470456819,314085.35132898827,303024.920662092,284276.7185372297,273545.54708694393,269496.55847260327,262145.6401502587,243501.59003146103,212573.56329480914,174018.61857439054,134315.85040928924,98713.82570603403,69985.53391231444,48627.50456176797,13641593.430197498,6314038.423229688,5105381.098974554,1081657.0084164883,1693268.4067838693,1406399.066349446,2177073.2834685133,2369784.5742620546,1483680.565040291,1103565.285948319
4,64,96,50569.096574154355,111680.34864549694,193519.87174400483,162704.28871933807,168027.1670529471,228695.39089459533,294661.34553594515,318996.6835525059,308932.6816604665,291932.10668542224,283766.7435840328,282536.108066591,277367.03695582,259588.00888474242,228036.617389225,187665.94389506849,145487.5266088193,107278.86216114722,76191.24469398595,52910.26101865698,13796277.999414664,6453624.653312761,5139705.744957845,1061532.5165382745,1621270.6650722479,1328903.450286444,2179193.5684497408,2296536.5320557095,1349999.5848094597,1003699.7239801204
5,80,112,51205.70832840295,110238.04651349672,187199.76489591453,153562.24806689142,158600.38690488433,217968.3959538659,282024.28082376596,304173.7678611203,291643.5968432549,272110.2417901957,261580.8329141081,258513.10525569902,252539.86944841946,235377.56534435245,205877.19571622982,168614.41578628318,130020.01172437535,95315.81729720882,67272.22872826467,46405.99323212483,13213596.844686622,6159703.728723592,5064133.377967682,1054376.1217983717,1564935.3104116074,1315864.6107777117,2318355.490212332,2554150.416948762,1546018.0355605285,1119555.7631031564
6,96,128,50627.94954024796,109217.13504467136,183185.1161848113,149438.20419455104,156564.75878501593,216217.89988185224,278494.78855015157,297845.06922728906,282354.93648886686,259818.07198813424,246180.84267038913,240249.04031936653,232290.84113405892,214532.45999140735,185943.23240861075,150817.88990246234,115076.78180272013,83411.4691722648,58188.30270701032,39697.08377722582,12972289.661792148,5966650.688175854,4996674.051449414,1057420.6003792167,1539962.4345346412,1269543.927735285,2192741.0461326563,2537058.3342579836,1916302.939161982,1497030.9230673492
7,112,144,55005.35067651298,109324.48904761141,181777.83304623727,147950.74412054734,155672.43605372848,215786.6283867693,277944.07530456805,297212.6677586537,281815.87745529914,259156.09481489513,244917.70972043544,238056.36792186118,229244.47104257386,211054.9553006524,182566.22648732646,147963.52930333276,112956.25243042962,82035.23105873329,57436.648026665134,39400.10757477499,13162668.882796494,5941017.706784959,4977610.639607417,1089500.8753186853,1607552.3551359137,1373354.3781081762,2317718.5478708334,2756234.658172814,2075036.828639859,1622809.246305484
8,128,160,57391.77731740168,108352.66799095787,180486.72011484986,147965.30793149996,155402.14102652474,215400.46264826154,278096.253017053,298244.3426455853,283476.9909590736,260952.78919203815,246656.28898270737,239918.77314259327,231482.03260499076,213736.62906479702,185553.4807256767,151018.11930223217,115852.70898216333,84622.08568195747,59647.765250510136,41238.17351018059,13224198.527868655,5953140.3521849485,4911858.498845543,1096031.9749459669,1701524.4922198919,1502120.474704663,2590091.2726943255,3033272.227977869,1943125.1637070398,1358979.2964721785
9,144,176,51573.72752234962,111240.74740927693,184763.19230533135,150006.9814877684,157718.69904665716,219283.63714903026,283517.07963963354,304498.8193505056,290050.3239802566,267882.25470594614,254275.20093406734,248356.79382733803,240386.7994308846,222407.62717361614,193281.48325852543,157347.93619117173,120659.94458596136,88045.16487427978,61964.02430135372,42752.74078820721,13232512.266252803,6036007.38414076,5061280.786075612,1100732.9676293142,1683003.385670786,1396515.9387659698,2132627.0877510053,2540755.63379924,1816851.6379659167,1349347.939821227
