nr,start,end,cwt1,cwt2,cwt3,cwt4,cwt5,cwt6,cwt7,cwt8,cwt9,cwt10,cwt11,cwt12,cwt13,cwt14,cwt15,cwt16,cwt17,cwt18,cwt19,cwt20,stft1,stft2,stft3,stft4,stft5,stft6,stft7,stft8,stft9,stft10
0,0,32,277421.0230979762,199858.94654953678,299854.1447260065,222130.4566630136,222114.41095841597,294626.7667183808,365373.23776092124,381937.02183764527,358357.14413845877,328609.3207551449,310799.651290226,302746.49390046095,292510.1311326436,270656.7035254755,235816.8023660209,192994.17922625062,149195.4706235137,110048.42348468231,78478.37797959539,54962.03305230971,16678207.205321992,8895034.821610034,8789019.22530892,2492558.204567345,4676949.058785952,7402134.790128695,19454462.200963482,22773525.512423404,9996981.601851791,6158903.178194846
1,16,48,250229.34372574315,209343.45195554456,311216.3677240509,228195.55504850566,226261.1082838177,299337.2414513426,370307.65842088533,385581.77633328567,359766.47330071556,327633.257654678,307877.5559162809,298679.04587724485,288156.1361070583,266677.43612855143,232577.49146035308,190595.6236031281,147561.711062885,109018.11931684174,77874.57298762852,54633.196234207266,16886882.482715577,9080133.570459735,9189284.981000321,2623182.1018652697,4637216.671266299,6633415.94524687,16173394.852970568,19749045.281496473,8807791.706464084,5412328.150896604
2,32,64,267132.6519923203,198003.2598322022,296710.318089837,223115.09791891102,224702.69549733723,301018.13502381445,375627.3138446628,393798.48187203787,369425.0042866758,337758.9562367486,318138.7112473929,308942.98333170963,298222.72613501735,276266.90243358625,241408.60895345718,198455.36734598954,154339.45693626453,114704.26463556052,82536.55447223954,58385.16475525619,16656880.271600755,8855449.394256251,8627569.97249167,2616760.908392981,4973975.980522139,7071797.718173525,17814071.179442123,21873284.189304356,9940256.626321249,6147109.876510149
3,48,80,255666.16379244317,192639.59402940166,292700.1791174446,222462.49542352653,224839.34803569035,300355.3628053083,374635.7238890062,393556.2839884329,370105.4367580213,339086.9581549134,319762.88941618666,310583.92340846115,299808.0084755924,277875.9858392959,243089.25985390105,200126.793842514,155838.5307599121,115887.05255792357,83345.03273877774,58851.86167381288,16543045.535358818,8806770.90240523,8418795.720861176,2488496.3586632716,4599536.742473908,6608022.204266911,17765695.844545074,20524169.88186011,8488227.867451124,5164626.64538433
4,64,96,252766.4340943426,194500.56178294064,300652.52178682265,231151.6477097812,232684.4697163411,304960.39042179217,374722.84779752244,389812.6421544672,363809.44325912354,330807.1393391411,309247.3829025791,297652.8666956236,285060.9915881836,262612.2934169652,228741.66180874244,187747.2783741498,145898.20881859507,108355.4085478626,77893.65882874111,55049.1600861089,15997455.208674131,8974544.639686758,8503982.57936253,2532313.2083762162,4689229.908664939,6553649.2947013285,17018240.628056895,18700760.90175709,7211111.372455932,4284304.687734226
5,80,112,274926.84566943586,204647.0648916437,312396.3263564201,235144.02451572017,234364.59899701783,305409.59678479726,374554.42493600707,389906.92474762345,365066.100470584,333694.4804486164,313618.7424245168,302916.7182613945,290534.630610668,267806.77066312224,233443.03272340132,191939.87224512448,149643.4342070241,111708.22052148299,80877.84289328023,57671.56933525883,16140116.557167651,9173019.515166119,8979881.304697221,2640602.294180124,4937143.102957113,7068086.920775474,19372256.170175683,22302477.083571456,8820550.804820491,5197813.020833062
6,96,128,246510.9887655935,210556.48084682028,318306.3884696747,235353.3176921251,235154.25497770272,311666.12440612144,387872.0454865113,408288.4881526986,385470.3914743822,354333.40765232476,334113.15539677266,323126.1783569259,309764.5642049329,284942.1995729718,247515.01409716235,202532.1643033009,156944.53679376587,116316.02048676385,83537.8263913995,59075.171014013846,17225109.054499596,9447416.126940956,9331111.987836346,2588308.4623455047,4505228.387693001,6411021.486516792,16650583.191793423,19716662.700943884,7854924.351369814,4686161.804877596
7,112,144,256107.94002185535,210038.49819783887,318032.9570930146,232432.0185432513,229749.9193736751,304449.0165513503,379626.0189719786,400047.0202004888,378014.0848264122,348143.314356013,329810.2237559684,321359.1091928886,310716.06418188993,288123.9734182407,251998.831759459,207342.00661463942,161345.15135145644,119911.25383145691,86223.9597319412,60933.10267968868,17113778.352075316,9401367.354976902,9328021.481845723,2568027.7696899986,4549434.4416472735,6743610.6796558555,17936627.803242642,21672223.481441136,9012696.657819377,5580765.685244036
8,128,160,240569.1387097125,211551.7281189834,317228.1359548362,228405.45048790573,224623.93035410414,296066.67160287325,367253.4526585111,385725.1529407818,364244.650222068,336315.78651049506,320323.71112622373,314191.78495104535,305683.9277846099,284911.50255307334,250181.30774602646,206464.23821876023,161008.94720868414,119822.33905266612,86193.06817958939,60851.71439565305,16892143.756697603,9174752.758102663,9364386.788377523,2605994.2287467523,4514335.1033208,6118501.590477926,17124229.76025616,20578630.467377897,8687461.562131684,5290817.971124611
9,144,176,238392.47751046784,218562.7276289175,323963.6538674324,231159.06702852584,229077.1580185859,303989.7013986004,378783.98705855897,399212.1102328333,377710.9961121453,348684.40764222265,331189.502484062,323314.779120415,312895.57229651354,290223.1918127609,253816.08139156213,208779.34757377973,162395.37880798496,120634.40237227501,86711.64080730507,61272.47414094944,17874831.203989487,9403636.38562296,9696511.982314924,2682911.5410722145,4746317.297266351,6210535.113076863,16144048.162055638,18933074.581053656,7498552.806015156,4180467.9652440366
