nr,start,end,cwt1,cwt2,cwt3,cwt4,cwt5,cwt6,cwt7,cwt8,cwt9,cwt10,cwt11,cwt12,cwt13,cwt14,cwt15,cwt16,cwt17,cwt18,cwt19,cwt20,stft1,stft2,stft3,stft4,stft5,stft6,stft7,stft8,stft9,stft10
0,0,32,245321.8187365121,181620.89635708628,272101.2828878672,202027.01379886322,203208.14142065728,272984.3704237703,342898.4983074857,360779.2923459404,338178.1490254284,307859.45599627245,287994.52011396247,277277.8993024903,265104.1151461965,243094.7742323074,210121.30715044815,170687.42178437355,130980.36332205094,95880.25833460415,67831.64874067392,47113.147340445306,15130777.76272796,8052256.406625004,7970984.103930107,2314353.1930872826,4243559.018026999,6558055.826047016,17439950.084651563,22050885.850512687,11637471.675291313,7742894.492008928
1,16,48,226250.2536715656,195584.62694606665,292665.71594345855,219096.05558700848,224361.87938192603,303082.9711380338,379636.463771208,398023.47525630845,372183.76717070147,338404.7100344077,316258.7978325647,303965.07592263346,289966.81095517974,265411.8792137869,229298.29140560707,186535.409114035,143690.9089274315,105872.28045564235,75601.22843956214,53136.241175105104,16666575.335401876,8798972.77316128,8608620.912897456,2443409.3935743654,4140730.2535033864,5958078.254399739,15339614.079532463,19127226.58003238,9767431.767167209,6270344.632640822
2,32,64,233766.71471836886,200687.19061049214,300047.90397236444,224796.24984320224,229326.06359644423,308345.8315828058,384875.95131290937,403625.63218961324,378861.50644424796,346667.98743027705,326320.5579299075,315618.8031590333,302567.5971848392,278043.08340792084,241032.72454808126,196670.0049599558,151872.6412832024,112093.80801584417,80102.20976675123,56274.051886065296,17123671.380539097,9028020.932248821,8786578.343950242,2576665.2008067123,4312240.139563586,6091027.894648465,15895658.683357103,19207189.22260999,9193368.05041565,5733461.21238655
3,48,80,245732.52844603127,192901.83517991315,287999.72724482766,213746.82438906512,215306.9498237791,288650.85944801243,360862.870713436,379246.89705149416,356428.3716084589,326024.9500454419,306538.4718133468,296531.1573991325,284928.2408069476,262828.6971083536,228823.63139107652,187482.04752881711,145307.14061291015,107572.5681600327,77052.16447916224,54225.73121402874,16418647.500092847,8580244.00562917,8417190.29853124,2549087.053218695,4504387.172936963,6529109.322584153,17012488.02282143,19800839.45536149,8743853.281492313,4937652.952420565
4,64,96,246666.44289257476,197467.04826229473,296862.5590789648,221925.7105853677,222624.83456453565,295564.34876194666,368748.62688964116,388450.68316075025,366308.45234922075,335903.0697114723,316103.91119863646,305765.8999117637,293854.57226010546,271355.7163050951,236769.82034214225,194671.92197806298,151638.07098058148,113027.621263341,81682.70240938358,58127.177737805854,16674014.687770894,8889162.348541198,8631873.722655501,2598200.5816832082,4663755.310960216,6901854.658521674,16911853.478422742,18560829.684840504,7473549.177088115,3870989.103687693
5,80,112,246161.25419055435,197356.07603735963,305450.543017736,229481.19161249555,226409.47352972397,297785.47809370817,370935.3786597403,390275.66818343254,367413.0066336415,336867.88102207193,317921.61883643514,308934.79230158456,298097.94179532724,275959.6391742887,241044.24626698045,198202.61449129245,154308.02225765426,114920.2226871796,82968.07919611163,58980.20226268696,16063392.619830256,9015067.374678928,8746944.48165878,2436826.3356576287,4329279.802126484,6968975.048028723,17815092.55550219,20263526.455949236,8265934.962125522,4394039.457203374
6,96,128,229000.143649926,188285.88633671417,290972.97436520335,215630.07356541054,211309.01672764015,280481.5696582062,352064.38269745535,372456.2052883735,353187.911364865,327110.8469348352,312053.8381168526,305713.1246674162,296246.8925289498,274540.3557722093,239560.90984029556,196520.72089804368,152498.66771164112,113119.48601313177,81290.57706496336,57486.84101121704,15643669.279922016,8548987.48873383,8373876.606299227,2284851.921951528,4189183.7924296185,6319134.519194961,15425846.384617388,17610231.576265313,7575930.172105516,4291701.13275752
7,112,144,248358.0782302633,186099.27712375202,283758.42990935576,214193.8570591533,214012.9038132217,285419.5682650782,355954.3609017364,373544.20875888166,351332.8635976407,322554.9037634084,304903.49159550393,296241.2776571076,285196.856829533,262998.8266591651,228588.3437578607,186861.59121805063,144495.61020238,106782.50881035553,76425.4265327314,53813.41667301692,15938197.087107778,8500162.096074551,8136011.188300501,2406184.9879283193,4611676.273171618,6943628.330638433,16815767.372272372,18475198.431046117,7786212.798609033,4618418.667271715
8,128,160,224469.69534083808,192080.47311124668,296282.4028764361,222140.30162183088,221108.43254556274,292761.68710784166,361764.3100027898,376050.5721163252,349794.2661201692,317363.31897267204,297149.2911453725,287301.4203471702,276377.83666219556,255242.252746492,222358.5163355025,182214.98436521538,141235.36194462716,104608.85030049176,75039.25049925076,52968.361008926084,16958139.917174492,8879749.310545448,8455606.097036336,2398360.4080127873,4304328.709526381,6135614.543624697,15455820.995884134,18347652.025807735,8575346.11857032,4846060.831737567
9,144,176,221259.79837718914,194535.15125831027,296017.0386136819,221165.22056867715,223356.01476638165,296212.6949440691,365887.51754489884,380603.37008576444,354044.07539876807,320648.2027550164,299451.142627019,289142.89471377456,278350.6780479729,257675.04419999005,225265.25127986717,185406.1485768921,144455.56186776122,107636.36999828748,77734.7890659292,55282.43107635939,17238864.919685934,8946852.246069368,8595741.37980837,2406503.920002375,4339141.231130266,5971418.485412779,14362249.040053306,16333519.721121224,7610893.259124194,4209839.95132395
