nr,start,end,cwt1,cwt2,cwt3,cwt4,cwt5,cwt6,cwt7,cwt8,cwt9,cwt10,cwt11,cwt12,cwt13,cwt14,cwt15,cwt16,cwt17,cwt18,cwt19,cwt20,stft1,stft2,stft3,stft4,stft5,stft6,stft7,stft8,stft9,stft10
0,0,32,36524.32322473176,109668.21674025158,187240.40098264287,153903.52313426492,162415.38241294105,226036.68245434223,291473.00356965273,311414.5303501537,295088.25313405774,271435.0372139815,256702.059841039,249599.4026858619,240322.11243850747,221175.33741121078,191287.12300165443,155074.4127391623,118492.72495074061,86200.4606386845,60504.99414841976,41644.04775272323,13306899.522838492,6164296.196508928,5056260.777188545,1008838.9626665023,1486814.1857472318,974002.7714548494,880490.7204107752,1276472.7462749705,1044877.937608648,910403.2449934402
1,16,48,38541.02833050937,107731.486863241,182825.44800205404,149602.8302979995,157528.8076530838,219452.74749171908,284297.59948191844,305683.44878503855,291907.4425009208,270804.75241547823,257945.73577148342,251789.1015406161,242643.30624256431,223130.83951034903,192701.86395853778,155988.62858444478,119040.77119813608,86525.33586262962,60717.35909139801,41814.12759974232,13082706.619347421,5994630.210208646,4969781.117549506,997756.9721536882,1524710.3818007782,1047186.9921379025,1012690.7663138685,1424371.93124364,1126829.5075915752,868259.8023263492
2,32,64,38264.9763171174,105635.15163760731,180898.78546447583,150308.03330696252,158811.03881489797,220936.85222599757,286190.74446726084,307298.35320089606,292039.90076283534,268696.2407961075,253620.93685600205,245869.99820817926,235984.811175912,216494.90727547562,186593.18111513497,150652.7831981785,114541.91569806018,82826.17192121789,57731.48247608208,39434.065592565166,13354866.348395467,6024432.786675934,4879273.713007252,978250.2457865829,1442954.0852035584,1031836.2065466787,1138229.9547491302,1483686.4433939594,1106575.0651612303,847411.1902853373
3,48,80,39542.18964824175,108590.61289831236,184926.87735047657,153486.40714481383,163802.49460572615,227877.22572359268,292619.4595409483,310628.70912409015,291261.1353029096,264124.5903075822,246278.95848749095,237115.1769492992,227186.31983594672,208724.32778154625,180447.94386350957,146258.54961091257,111686.00156034234,81135.95965179864,56823.43229534948,38998.33964767674,12890779.026735313,6038761.542603659,4998788.480701954,1025851.7754566285,1498948.4395157876,1046406.1521272641,1124144.3384692417,1395551.776614323,1077325.2621147062,934247.3151802858
4,64,96,41304.07098000269,113694.87903094493,196042.0751669213,162573.2155402877,168601.05148862532,230482.16662470464,295988.8469281871,317156.7541449869,301894.6321438196,278686.2021730404,264132.765778445,257352.95289942843,248610.23465987394,230015.42718559067,200446.70128345818,164159.51801305215,127083.63624441512,93964.01383097876,67252.06929937917,47332.70625438985,13723883.658392012,6401366.345986944,5235379.966974367,1049258.9894350895,1529329.4621250043,1110723.516444512,1228888.3823515128,1779568.2695254516,1533730.4056241964,1217912.663001319
5,80,112,37451.067866552556,111823.12655001676,195532.0838859033,161784.29992284335,163250.4519684652,220451.43945174853,283377.0885331072,304714.3847837319,291153.72746075137,269916.30917506246,256933.5655137649,251131.97812518204,242928.1108077116,224720.79200011728,195604.35308043144,159903.68049794334,123508.13589120097,91081.2463948327,65003.30429645832,45619.931716257655,13842919.540019194,6382957.417903448,5154801.239272886,1015115.5157370691,1454233.629836547,1034979.247513471,1076409.2031892943,1561199.7869113323,1475717.477781509,1196173.1949361167
6,96,128,36435.018841776306,106751.39682844601,186338.74339868553,152222.51911423204,157002.66327270062,215958.72415129605,278295.4066524204,297580.1742613675,281584.81433730817,258168.76847661423,243518.12612200962,236660.42618698307,228060.5164996595,210108.54485130482,181828.64039906455,147421.79078765828,112613.8686721115,81892.07005350778,57479.340660706366,39606.01373863845,13007613.747563507,6033200.598336354,4924109.95672208,974599.8213525004,1441267.0689657147,1029466.9450978707,981348.9494036713,1356576.4942004038,1337602.0239551642,1197032.1185980944
7,112,144,39930.11536495584,108249.15769383805,187908.65147212674,154924.92710542027,163447.40127443732,225855.32300351,289903.5964937498,308135.0588784681,289401.5033150388,263027.96439181967,246033.3104045376,237724.80137959498,228455.19783245472,210302.44967677852,181991.1096216161,147546.89107993615,112642.1466321615,81779.77880867678,57217.21359782509,39209.928058269354,13170443.268915838,6125755.74754499,4996501.514307919,977675.4497329538,1468552.234514918,1036584.7018262433,1120612.7424265803,1630762.8092103866,1437203.1955764957,1275906.930974246
8,128,160,40359.515565511945,108986.44090249825,185128.3556761143,152970.2048605815,163258.623975771,226322.5572605613,289788.02918481687,307066.574075585,287962.1748141043,262031.6246957287,246061.21856488945,238966.429917861,230680.30059400375,212982.10585492232,184530.9676905863,149500.91714254327,113811.44210033031,82190.13305558605,57028.567398068095,38619.656764268235,13098432.765367731,6027951.534067701,5025942.261725675,1001146.6516419284,1513098.0876149165,1055927.0322290785,1067206.8889833833,1443497.516287157,1234676.5671810624,1088395.1178427683
9,144,176,39542.119365874365,108317.8841663011,183699.11359316966,150691.96823163013,160766.70136086276,224087.40275653458,287576.929823271,305030.94905581255,286675.0721366748,261933.63169695876,247198.9732480418,241039.62875321804,233236.69106425386,215605.541142255,186939.37166582706,151556.0572930994,115482.42922677226,83507.37486872579,58047.17945743304,39397.49576402938,12983999.897336425,5972764.053934419,4987189.0096848,1017560.843380546,1528826.3467582897,1041955.220405105,1113456.1756993236,1559133.4794844391,1231112.755763686,1017402.0361405411
