nr,start,end,cwt1,cwt2,cwt3,cwt4,cwt5,cwt6,cwt7,cwt8,cwt9,cwt10,cwt11,cwt12,cwt13,cwt14,cwt15,cwt16,cwt17,cwt18,cwt19,cwt20,stft1,stft2,stft3,stft4,stft5,stft6,stft7,stft8,stft9,stft10
0,0,32,36565.43402295024,110948.59511355871,188043.38737489676,154899.56450727134,162963.82390532072,226181.234124342,293255.11253399146,315464.0498584149,300232.71564825,276463.2490654665,261350.84902523668,254290.91695038037,245495.03995713036,226891.27413685655,197235.07705893973,160779.37013028018,123527.30768181563,90307.56016883648,63621.87283881278,43858.5047625395,13641914.00740943,6207703.088555439,5105387.213688446,999725.6614336026,1416375.1445866143,969089.4612140402,1039876.9494813919,1368201.3459269782,1086987.0663102511,821289.364255826
1,16,48,36925.42186114492,109365.13298940708,185211.8101506642,154495.26859989128,165340.7867589267,230613.24945707715,297691.79547527403,317864.57773115876,300138.0574754979,274550.2319568956,258528.23243028997,251318.41351434504,242907.85169106643,224993.85977100764,196127.62049529317,160411.60810245242,123760.10733132515,90966.79669223327,64537.702857673896,44889.262042346505,13814251.967732063,6203170.748550521,5019866.7034329,1011915.6926460152,1415860.4600904721,966637.2320547942,949776.1154023713,1332046.4904125773,1143169.2543576146,867054.6875366982
2,32,64,39893.215722847664,109690.62970197258,187519.23498280728,156049.80361557662,169008.59794124065,239737.5013014101,312299.89113462943,335533.9224057912,318496.45171324053,292539.23041092505,275953.4591378575,267960.8093496973,258151.3717867281,238043.3639996607,206408.34933181183,167800.1151426218,128567.51497888975,93766.60544516364,65964.65397204667,45493.05520622341,14607962.384996235,6330546.21773581,5048085.86675222,1024402.0506435301,1465250.141611005,1018368.0879016708,1147033.1174741185,1827928.3545094752,1438982.036127096,1075787.6773505544
3,48,80,41172.4525665689,112741.13661080833,193034.3730864325,157244.82525021466,166703.2111594856,235655.50746034383,308794.9017097694,334785.42877589114,321009.5244244209,297584.53014622163,282538.0425883401,275196.5340086819,265271.55429117964,244423.4106443746,211626.25888846169,171671.23228110775,131126.7326601477,95207.788574332,66561.50878861295,45526.71809109816,14995902.258593159,6417596.880695459,5193459.815529882,1044139.6184881753,1492287.0586406172,1044652.7141036118,1320452.8022547117,2171608.16589185,1556970.752272263,1053036.6783962685
4,64,96,39098.85714697541,117659.21267407695,207161.46094431964,175061.15163620497,184413.16099388595,252026.2692645212,323000.1600348228,346246.24189002335,330789.9996247052,307506.20302103664,293738.3469062849,287767.906684406,278646.093292428,257803.55197344144,224235.1804094165,182885.7328275496,140556.0368362331,102721.72951075483,72259.73188013327,49664.28131292758,15129183.064873623,6948010.680562336,5447502.014055396,1042917.4456360549,1465313.4392260737,1048186.9404058856,1119237.246160251,1651271.66227374,1235125.9386092152,913239.856955477
5,80,112,38503.35893096891,115553.22710325665,203130.54335722278,174943.9274712111,186431.92126199746,253983.24954275234,323300.7202695729,344160.6079852555,326594.4183220032,301954.3217345682,287644.62132293516,281873.6230740309,273495.7196394166,253649.4009963655,221065.18993347243,180538.63436196625,138834.66016005818,101456.59873093272,71325.02197486996,48969.305350321396,14691708.527222427,6895170.125890066,5350119.840740432,1032871.5332364835,1469773.4523748339,1060666.0201319298,1007849.3889245633,1248570.4395353245,1025744.6343763417,959908.5972194353
6,96,128,39009.5696007584,111263.18731524944,189762.1058416492,156285.82334048412,165337.17501432146,230169.0671680834,297730.5325268433,319542.52515976195,303896.5712353284,280221.3866023364,265708.078807829,259387.43668974805,251004.87281832157,232201.62869106064,201755.2794212256,164173.35814954198,125774.47300406973,91622.352738622,64317.458231092845,44229.84594305281,13904797.33578667,6289669.235721306,5118826.286449238,1033725.1631463107,1484883.5428629124,1018388.643752312,996911.9051319337,1359129.8029584754,1100267.8728431845,965334.6162083423
7,112,144,41495.89848813457,113409.06042654124,192503.63537917298,156135.84637478864,163539.3473637688,227087.16482950593,294064.1887678728,316182.11400027823,301515.4961737107,279174.71289102966,266028.305597185,260768.91236397644,252926.66390055756,234158.3880257075,203433.72663159287,165487.31281849116,126791.22703937559,92460.0879796487,65073.512089039905,44955.953844386524,13515769.488999404,6225880.080920549,5210555.906930669,1039834.7305372613,1525746.4308116662,1078209.3300040755,1153213.1458769324,1645557.2093512453,1327765.252241863,1031976.5943565943
8,128,160,40898.2548266882,113391.71989736498,192586.20704520534,156392.20425149257,164138.54352324788,227941.9544819196,294689.33644842537,316053.1467849817,300816.1795457042,278554.1187782213,266144.88401292864,261978.9129228499,255157.61480411966,237000.24055146935,206358.00613131473,168045.24755503517,128713.57339628608,93663.33936480341,65611.64697744537,44956.30259206324,13392428.17193422,6227912.552676018,5240051.658085931,1012472.2528571356,1499459.4146413854,1073904.1995670476,1155410.2547475703,1659085.5056176553,1332294.0620455854,947521.1319806537
9,144,176,41068.19783225539,112530.52695679326,192096.66654867172,157856.39221190446,165419.36544448996,230208.49708624528,299042.02773790935,322415.62091164885,308308.8051828563,285943.1631841628,272187.6840494957,265851.0708427765,256781.35769535022,236968.8061973474,205535.83031951016,167167.66377438113,128192.41400038949,93599.6443316818,65915.05694999464,45472.65548441192,14199232.588639976,6397449.547141929,5185602.823247557,1033177.9989204627,1531277.466009184,1078867.9668388343,1074483.7075791373,1409125.710215533,1181061.3438996181,902526.5515634465
10,160,192,40343.51411353705,112195.65482990886,193055.5119154193,159320.43933363527,166692.5585447484,231171.75140710818,300494.6267480678,325390.67854931793,313157.85235501034,292305.7575773317,279195.9056739162,272504.14448348165,262380.1024534835,241282.92222760952,208681.4108773249,169404.98831988117,129786.86273803566,94763.58317027712,66798.616236144,46174.40462810299,14561771.651248438,6497422.54450511,5183236.350546248,1023443.4681715287,1529347.281773237,1082235.1166431513,1049770.4034922104,1228132.9859377227,990280.6530858872,837016.5434085075
11,176,208,36175.26663193712,113326.40424856923,194838.08811926143,159238.57458397545,166305.0306732424,231043.4040085532,300547.18166323385,325093.925085551,311933.71276379336,290163.4720819904,276699.50648269185,270267.35405875434,260702.68119290084,240133.61628411166,207870.14437441417,168745.13052397352,129169.35876251303,94157.20562028466,66216.87244409091,45641.00245951709,14160674.736265909,6432759.140129719,5264929.15980033,1008212.2967130096,1436533.6854164447,950876.4100587475,904067.7557895997,1149892.140749813,913127.5753392134,745324.4061310707
12,192,224,37648.41912129723,117580.52115046934,200291.61133092485,158911.32153729402,164589.35251521072,229208.258408232,297751.64068073523,320785.20311713236,306220.047351621,283324.23363560694,269130.8840493397,262591.3312852922,253602.03385242194,234099.97289965508,203101.13177942112,165190.62163225646,126634.48529202683,92398.05984159767,65004.76833926398,44792.909570180826,13917406.657507218,6380644.901035647,5464853.745639503,1041300.3816845001,1424864.8748788382,983313.0047163463,1047584.3412860748,1469578.8781031836,1213752.5123125552,918501.4602947858
13,208,240,41846.73545637402,116545.11884018738,197391.01599712085,159009.8047997804,167470.14910319852,233264.2853875471,300429.75236427423,320489.0495142811,303185.24089342204,278565.09422473726,263635.1682382044,257260.43126000953,249213.1982077721,231124.02501654133,201605.15948835533,164922.494581424,127201.15969597637,93423.05202152062,66210.2314574015,46012.56339127781,13850428.8134927,6350980.43976371,5398002.999249376,1061347.4559524977,1530350.0326256312,1073642.4260590626,1162111.9177539258,1634734.1986300587,1391593.858542211,1156931.1474948046
14,224,256,41728.594587070074,113172.10009819582,191714.41358519805,158442.62304752346,168668.464020726,235646.00269929937,304611.74430357304,325342.0344617746,306903.831097421,280333.2757422507,263869.2198595319,256942.71234972522,249241.42796400024,232007.08925963377,203442.40141540798,167521.2751199827,130229.58407954215,96540.31882714336,69149.29966152277,48613.12385326043,14057663.067212237,6325355.651118426,5212042.000142026,1050563.5389969104,1568367.5535176853,1058556.1669809637,1130246.5206097928,1665809.8665611884,1407383.6525305384,1210506.0961095155
15,240,272,38104.041738376,113914.42224328389,195438.48466320903,161772.9832772479,171728.88390179392,239055.96232574194,307774.8464391977,326989.82465235295,306473.6783723579,277872.4968535223,259526.59974904585,250873.7124472185,241753.48475313283,223636.8743847325,194874.99967489034,159415.15830693103,123059.70593768341,90531.53451774032,64303.89162154625,44790.47442476931,13987336.70745097,6425400.245109594,5269071.524750831,1028804.8532118356,1475514.502718451,988450.3622057176,1155946.39901086,1830381.738225922,1404877.5315698,1082564.3088211855
16,256,288,36568.727535433776,113581.97124648653,196585.6319239605,163095.1654588947,171562.3780626902,236271.46687945217,301346.0240273922,317364.41082320065,295102.6227959179,265900.5446979752,247416.5582867943,238820.9562830823,230017.49381588414,212546.1144978966,184712.439641437,150354.23024801334,115167.20047101681,83795.65158474882,58658.11974581709,40128.65679060516,13544784.659695093,6414915.80002614,5267528.595801135,1019067.8222538809,1435081.464396064,945052.9953909573,1034353.3835081216,1577650.6983987573,1258490.782366513,1006721.3376482128
17,272,304,38272.894165287646,112858.8911684573,192551.74920443603,158295.4010687019,165907.1236981116,228362.43843883806,292585.7476168568,311014.596801587,293056.7343263527,268362.20589570794,253863.5583402896,248401.08612734612,241551.21416469733,224659.5495348608,196146.81435162434,160243.92418705233,123138.2216658847,89887.77704137618,63160.74531582388,43420.173544401434,13646102.960661912,6267967.105802473,5225887.068992254,1015147.8931868088,1433790.9193771416,1038100.7909527457,1125055.6606015607,1577181.5888867204,1229761.8146960249,969828.6861929926
18,288,320,38990.867194695784,116075.50762390178,196077.79907827647,159045.20696791375,167496.32507890865,232564.60152239428,300621.0286274788,322786.38122945407,307304.0839655058,283803.70112723054,269754.4758819425,264248.1501138199,256783.20173726208,238649.0760016249,208407.60604543908,170559.21649826373,131553.5764379464,96622.67987339442,68509.3990048326,47680.08862019444,14121320.701438902,6381384.668614342,5376844.610445882,1049063.7606535854,1493734.9668239478,1068214.9319227603,1134165.0309406458,1537441.643792732,1215531.0424129404,982336.8095347706
19,304,336,37259.76684884717,114736.7811321276,196476.85589716784,160545.40365005986,170198.56741227256,239204.98287007454,311860.5584794612,336541.12410953693,321198.182533614,296692.4897732008,281538.2121904289,275137.4429171228,266851.29172986356,247756.06306061032,216310.14658922673,177054.54964916492,136576.49267923177,100264.94061828441,70975.30457085378,49217.570328465634,14391001.83980129,6499479.847166891,5307064.074639121,1034896.8691296481,1502806.4491663375,1034456.463944971,992748.9425848754,1327468.5885916697,1099529.3707005777,909805.796375948
