nr,start,end,cwt1,cwt2,cwt3,cwt4,cwt5,cwt6,cwt7,cwt8,cwt9,cwt10,cwt11,cwt12,cwt13,cwt14,cwt15,cwt16,cwt17,cwt18,cwt19,cwt20,stft1,stft2,stft3,stft4,stft5,stft6,stft7,stft8,stft9,stft10
0,0,32,39777.82048375448,104571.31578220635,176287.48276764297,144756.99118346206,154159.86399836215,216204.38307292745,280593.4042643884,301689.7087313119,287300.58469464385,265245.6046457525,251910.59393152138,246454.64052815936,239123.19604098206,221870.0951102827,193405.6105612498,157936.8431452888,121469.46616082925,88871.17524331859,62687.860986975196,43339.79080839045,13602569.03668066,5951549.413924578,4781789.993329473,1019364.4990946482,1590204.7202358244,1010659.3307811695,1122638.214660298,1545856.9043355274,1280798.0608926453,1202204.7913867554
1,16,48,41343.95351968238,107409.46991717698,179616.89053234283,145513.89681139257,153531.42722539525,215104.47123318043,280325.0614944199,302875.11665994703,289967.71455333,269158.077661617,256617.3930169888,251352.89591675487,243685.43308632527,225820.58966589416,196708.74309645963,160677.25012840767,123747.41860477415,90759.25299738703,64232.44281302085,44576.56211101762,13266189.561996894,5937522.28347354,4911203.434270284,1042717.7174469046,1602300.4701392765,1003473.5853815703,1182433.4166465441,1647777.9939894495,1367434.7744569639,1188887.3090802038
2,32,64,38689.08908676575,107723.9652873554,180299.71571215996,147354.5464642137,155716.8372033106,216833.44255055054,280718.784545159,301451.79724440916,286865.9128351024,264552.0880297286,250331.91473268857,243268.4733451308,234264.74332846317,216085.45751680477,187781.39472517322,153341.3193958225,118283.4329500963,87030.81849451322,61879.07838855569,43189.426709845306,12996208.401152153,5945258.423035441,4923321.24042446,1038124.2975549261,1521349.5046529104,921032.5247937228,1135133.952574519,1590316.078135168,1322352.697118609,1158311.111138546
3,48,80,39013.46398859811,106162.9874643128,181204.22956714858,149786.99484752267,159779.61293242694,223003.37122282054,287138.7166680922,306083.58997921745,289129.9836022705,264861.0407899274,249169.3397455969,240960.4639039889,231140.60705387467,212562.42610106294,184304.8356556299,150281.8374956123,115867.20079329926,85326.24122477193,60829.976531425506,42669.976550996755,13249664.529605478,6011779.157028419,4867051.49926344,1021065.8562295261,1489810.4251686868,964510.0753993898,1186568.2974422725,1727484.416643132,1359323.1691572706,1159192.0942849899
4,64,96,39805.70904688139,111825.69970597369,194254.66974822915,159395.53081841324,166663.27212109897,229654.05303936012,295279.95637224935,316201.7237195277,300835.08537914464,277539.0136539546,262380.6515858589,254444.66375028473,244587.65197828098,225503.23923101928,196219.31622012958,160766.70972419324,124724.63588005629,92554.36160775587,66562.8563283896,47113.79862828087,13652111.463647876,6303391.150873953,5170623.697182695,1034709.3644431161,1512579.383326245,985210.1511763043,1230217.312815711,1708467.3483947662,1244530.455484728,936878.4136403839
5,80,112,38971.59712675526,113757.10814706134,202045.187347145,166721.8852810141,170564.8186895258,231121.02033266483,295551.1514471381,315730.3615566577,299746.89536283514,276066.12466293224,261173.27967412162,254386.9191861476,246273.5052946747,228945.68480946348,200949.4586023356,166110.2996881486,130047.69269818698,97400.38980871826,70687.80248339969,50455.19217117784,13714669.248299211,6537603.561715085,5285591.088647877,1013903.8219143491,1506931.6137628097,955006.9188267328,1220048.8168777484,1688694.3882478722,1255754.9191687328,1039288.6369871827
6,96,128,39723.44779334756,109853.24245105244,191635.1693734947,155971.45474097074,159490.11242546802,218145.8860133978,280653.2688857035,299853.9584476979,283676.5288787411,260252.35862628758,245968.06688919629,240049.95571549574,232926.71050435008,216636.6728745537,189738.81416280151,156096.33441047487,121331.51883405857,90035.15727075524,64646.87283983209,45630.21104727989,13414557.350688279,6224826.64041975,5083707.251898706,1004031.4608419078,1484482.2367786048,993672.9598583585,1256214.077938724,1759415.788659798,1375379.683139433,1199102.8376680282
7,112,144,37750.3502912106,107776.74154609148,181943.83965749378,146115.42783678722,151951.77985320258,211003.37097954508,273019.8327146995,292400.36289156496,276979.35278228327,254328.12135712197,240636.86783271874,235163.72008977685,228366.50593568207,212274.82688012932,185468.0957830808,151891.29442451987,117270.83303149887,86263.04820244276,61306.6455306297,42812.3974627895,12952479.366819346,5905915.436353266,4984060.406469362,997190.8113859983,1429171.8072858576,954757.3776159363,1143159.0290420759,1566864.1576686127,1220408.152306443,959301.9559844153
8,128,160,38868.648822438096,105548.99579821568,179984.36454398965,148480.76569614874,156476.50623815876,217332.8158728288,279468.71063156176,297443.2483246232,280206.464130271,255887.54897037585,240699.58987937353,233954.10699447998,226336.06496008806,210043.722701607,183595.2148552307,150690.3618012089,116776.81612703101,86317.16427164208,61677.83525209459,43291.67480516375,13030690.286951113,5991160.612513567,4854264.292475144,989932.1449105658,1492597.466016002,1002815.7525423196,1185163.2342704623,1651235.3948180506,1260032.8270714397,1001533.8322441083
9,144,176,40314.9921728272,107233.51328446285,182394.8953828346,150155.29984873295,157578.23420157487,217483.50616492817,279061.03562593996,297159.5775966668,280244.58124062035,256032.92523823195,240662.23967624226,233541.88817083053,225518.2932324428,208949.64056662208,182431.49729411642,149628.18618953734,115887.54791147733,85581.64038429495,61035.791436207845,42686.358482064396,13392302.5731047,6059392.16297324,4909135.526507415,1011627.8007292403,1514750.3289178223,1028446.5487885167,1278349.1544618725,1797967.0437903458,1315115.5640825045,997093.854221656
10,160,192,39395.525982120045,111692.84285417489,189840.38047741624,154013.61729565778,159134.69520246808,218006.70720109178,279564.79344732757,297868.1160907696,281105.0134329405,257212.218947909,242556.71708231384,236405.49724758547,229173.59021793923,212860.459901677,185992.2311570977,152411.64664701253,117736.56289442757,86568.06048064596,61360.09540234836,42579.87742396573,13283197.131136026,6125374.178380455,5142479.890682338,1034129.8834504345,1447163.4957131348,975790.479651969,1282149.1796341448,1790975.9653919155,1272067.6034664225,894356.4719044896
