nr,start,end,cwt1,cwt2,cwt3,cwt4,cwt5,cwt6,cwt7,cwt8,cwt9,cwt10,cwt11,cwt12,cwt13,cwt14,cwt15,cwt16,cwt17,cwt18,cwt19,cwt20,stft1,stft2,stft3,stft4,stft5,stft6,stft7,stft8,stft9,stft10
0,0,32,45178.953331053686,105252.76080283224,174530.48614444738,141033.2629123957,147418.83379453834,202836.2609529726,259903.09129498096,276991.7554378114,262246.21092078503,241374.680797902,228882.9342703973,223440.31531931832,215941.0711185846,199250.1297665664,172550.48648516956,139916.13903065896,106836.93743827027,77601.57296420603,54335.264053729064,37266.01902059891,11784925.966291811,5593362.683152134,4803355.671023599,1050423.0151067765,1461462.5174612775,1020205.0603268386,2027045.3691974916,2358830.277958557,1775611.3089061975,1462307.9670044277
1,16,48,40878.54421582135,103986.31678543343,173282.1987016999,139748.29098076824,146077.34371354242,201525.13934772354,259392.82014513074,278094.2240039332,265349.2497313971,246593.71980495093,236127.046446828,232337.36805933196,225857.17854886933,209428.54678116707,182279.11264367466,148653.80034384708,114271.63000086253,83644.2359550691,59070.166087674406,40883.68466123597,12382130.576003667,5628450.775493936,4759468.979554233,1025544.07083825,1411368.399217143,927717.2679896988,1673844.4418046814,1883300.3650814574,1371384.6594531971,1169533.5640574114
2,32,64,49673.20680623871,104699.83419613414,175486.50182992875,143798.82367826518,149091.39680215783,203422.65934166135,259974.8687072676,276872.086336337,261862.83206848823,240601.21967589398,227856.95391912438,222654.48867543522,216077.26341242154,200851.6119788607,175765.46406924655,144463.9978662718,112166.7172807328,83113.9695458251,59555.22409629076,41919.49246076972,12415056.739528235,5713250.695213947,4760514.488293516,1067743.1619814844,1497454.3441951298,1131782.1334771344,2325667.0203124965,2562443.5237908447,1495215.5963045508,1116380.201966113
3,48,80,48095.36628180487,106639.51783764883,178356.5146665093,144985.30965163014,151177.70341847988,208291.35750744736,267786.0456996867,286214.6109971828,270705.0462036367,247498.47047700535,232324.8375902925,224866.50762970033,216457.7364911514,199867.5311143422,173874.716689972,142094.31379749143,109680.01777093309,80772.99367074663,57512.575736585604,40230.76094418084,12409655.214180432,5782001.299410359,4842884.295417058,1101623.287037677,1462801.2468737862,1047939.7802586969,2177787.1120926524,2454459.634731539,1479994.3481687196,1110201.9504576689
4,64,96,44646.24420577207,108030.86971723057,186175.587040499,151763.68584694024,155995.87874960428,214280.34150861186,277381.5031640984,300592.4457804989,289989.16780065093,271105.98402764,259147.61243516678,253299.48528437768,244532.2267303107,225626.6525094525,195829.5619999375,159514.58824052592,122609.79408172077,89821.78222832414,63554.51510182063,44140.901237798666,12721955.09929731,6082948.089948593,4933456.295017608,1076243.554944582,1447194.964905742,999995.0892907962,1982185.1452319953,2256083.6120967083,1638666.308548432,1320867.5863018152
5,80,112,45559.41722287384,111899.44819205742,192999.87245224597,155317.36412102098,157081.17477799943,213377.26710074703,273694.457962168,295185.2853561709,285519.7074423595,269883.2828614438,262191.3400587718,260430.42496434544,254768.71726109454,237580.83180174237,208079.2239838405,170913.5793165314,132457.11672541336,97862.32739872539,69864.1932378094,48978.508608451615,12945622.376613736,6216443.525960823,5140470.66224986,1059624.1560588635,1470267.730555459,1049926.0015416683,2084715.887199113,2393794.7300777915,1741311.1254597022,1354918.2722455603
6,96,128,40980.26104472592,110597.12080743641,184110.85724854792,145290.00212697312,149768.02946941057,205685.65281672025,263224.5445548296,281388.6198438788,268672.2784296229,250498.66814622964,240938.467526298,238258.17914156514,232925.82522886756,217398.4567559825,190644.0253537632,156827.6122351651,121781.38894141364,90227.55721967376,64666.81449423734,45570.638820041444,13003636.480336467,5907528.23616279,5074215.216206173,1041981.8911776753,1387407.020106728,917272.023451529,1778000.3425898182,2099609.847899558,1571145.0997719192,1308014.9701297546
7,112,144,44643.28229346608,108013.31161505771,178278.08108094262,141569.40696462055,148671.61274937802,206435.46036546715,265838.7348228727,284599.7022962051,270340.7480604161,248909.80506566586,235353.30404299064,228941.7974401845,220956.2988900222,204299.8066598793,177929.64443209328,145624.96494710818,112667.86764801042,83280.46889072751,59634.50189203008,42057.74992443882,13390369.953792641,5848593.048937764,4934803.3409690885,1056264.5621682988,1399861.1372372948,981754.1964809145,2057940.6980677263,2362092.38775408,1615445.4807832732,1368560.9640730426
8,128,160,44407.02251033285,107904.80355468526,180049.68062300948,145041.7629860018,152291.39903413024,210482.96286276294,269598.11284913466,287038.71408722695,271229.6158637738,248552.37563974186,234145.08587213926,227175.16745623018,218788.2527707673,201797.62829097558,175134.65549468642,142598.40951530624,109504.8761935347,80096.51862032252,56539.10176091723,39131.199816040185,13016828.282709114,5916182.311467332,4936054.562881417,1063434.85244,1388730.2713187067,953167.7295469485,2047987.6312347564,2230484.736300134,1462527.5273121272,1292378.015973527
9,144,176,44036.76932407325,107225.16293182554,179470.9652285771,145315.29083742262,152547.43565084372,210521.97716437743,269564.00292199076,287503.0293940913,273074.77053528745,252516.72580057866,240362.70957540371,235096.75889084858,227462.7619280496,210224.09653933474,182514.28546153012,148465.00014672556,113742.26500310357,82862.66476679876,58141.05020743611,39905.3262300815,12297761.71254702,5825343.814265136,4893973.214749404,1056485.5850752688,1352796.470496282,924340.9825398709,2152942.737750979,2537139.330523416,1894927.4275141545,1688118.0324003082
10,160,192,45011.73779017881,106356.45948007515,175535.8847628158,140410.15054573337,148146.06095395092,206520.74547296207,267516.41483826557,288685.3808529953,276998.609151899,257841.90894339158,246014.86015209794,240527.3681727589,232456.80284811257,214698.73332219856,186425.68735098545,151792.74640549906,116500.6113879605,85105.41019630308,59950.58015382876,41373.57004931263,12643517.468442162,5744092.462433171,4850015.277945937,1045146.4171435751,1381332.6319858306,950178.1115524996,2157147.261987436,2635444.545293084,1726927.1494020487,1373669.7879197262
11,176,208,43131.7203217627,104630.22995452103,173372.22362142548,138742.6990639852,145308.41781286974,201827.52798385074,261101.10274770015,280618.1748795063,267160.2673932496,245950.09636628017,232000.18978051492,224866.97038295638,216174.30765256562,199072.0668207848,172599.14229569584,140486.98695280933,107919.42983336304,79023.97624239413,55897.91285129037,38813.986464323694,12469380.102235166,5664355.692120481,4786551.242752241,998169.0504716597,1391918.8123077122,923321.485626678,1902901.5782429727,2374696.260671906,1689461.6187569099,1539395.7735334742
12,192,224,47479.66754782348,104764.78040597227,174422.86615113227,140340.84754595216,145485.5047544906,201084.48391844344,260105.41374127578,279880.99110234086,267177.4367448393,247188.00947118126,234589.3616190612,228503.9433398194,220311.43500302426,203161.38145711072,176246.56511057692,143499.26052701418,110274.78133098928,80807.80515765125,57239.02181022383,39840.16815053171,12295210.036995733,5694059.5903202975,4781692.971660019,1025053.5625099322,1469204.2088630786,1073074.7935146654,2210315.9809576315,2727459.1903656507,2058075.9734767058,2070420.676046345
13,208,240,44759.59076197201,105045.49349703576,173851.63177501594,140007.9724373286,146890.22266001545,203225.0011699028,260895.52737337232,278433.29070072545,264017.3565012714,243115.4766918633,230169.217968355,224197.95413777092,216547.318839535,200238.2042273353,174266.65850172867,142392.53196455262,109869.64273202012,80900.2375426181,57640.45774895664,40402.7283008573,12300948.709563648,5671371.166308277,4798390.001180754,1040070.5626071654,1436692.2513233575,1023844.0138171528,2048814.8475087848,2484555.137493319,1644485.6785127895,1486405.9863273706
14,224,256,46348.201205971905,104389.07602298197,174934.6591723669,140758.42991111768,147437.93247078007,204018.1079094392,262079.4048954828,279658.0862966485,264791.7394481577,243232.83279681366,229849.18677583477,223840.05296785987,216419.40027021363,200372.65979053467,174542.8948620829,142658.79974035337,110017.40455018892,80882.62756637718,57459.313177002135,40087.37513498686,12112655.016207963,5634216.171007097,4780481.358944507,1016692.0579140651,1428004.4732858457,1053196.0121542339,2167969.544064202,2555301.9614236327,1669108.2979672693,1342059.6900317082
15,240,272,48939.40555704603,106450.46938321168,178284.48374515754,141968.3165868109,146002.2182032308,201370.8180064606,260684.81301322696,281140.77191332594,269293.8919805118,250405.32007110375,239181.45105308451,234460.9718228628,227152.1974809735,210075.8522343919,182437.06196510227,148456.63936849294,113855.93781808519,83149.67529381222,58614.41867256608,40538.15244667072,12202629.214422805,5701615.100708572,4868429.388296125,1031597.6875382973,1433423.5941813954,1102987.133111677,2389284.396517812,2590447.7627541334,1545956.2676634947,1224723.038675962
16,256,288,47002.65513985759,108855.13525262258,178424.99036016662,141492.2467926779,147005.55184126456,203924.04716661133,263933.2225212654,284245.63961207616,272025.7045034653,252689.24236604656,240666.15651300346,234750.98573472016,226216.9097310953,208319.89819854422,180448.35198417126,146717.9233014123,112608.14083964442,82413.48975864236,58286.35743633578,40483.100561775864,12432146.558070285,5731303.20684526,4971146.192914601,1059199.412179181,1368149.3224614623,978987.4725376498,2148494.927346183,2427296.6417338024,1639497.9449519455,1407361.3223494564
17,272,304,47545.49295920618,106961.95225069115,177227.7551291912,143302.8575687275,149688.90535837738,207552.4038344153,268882.6248023675,290017.254978879,277461.8344788358,256811.46691680557,243180.2460796702,235895.03173266456,226408.4049177414,207942.3036292817,179786.55746420802,145958.30207920744,111858.26889370511,81727.39636691619,57687.3299584065,39978.835714831606,12564449.239862671,5791794.474056245,4881695.59755295,1048590.36219611,1405749.0106975802,998519.0196264816,2194266.252963766,2715976.7191844713,1824261.7274541745,1569595.9407338647
18,288,320,45152.64542393618,107508.70417692744,180486.03802878674,146777.33490211683,153355.10704374235,213034.35972851882,276014.1586483687,297143.06667209166,283353.97951433185,261283.1681601336,246817.7792758171,239454.53571859238,230287.48466001858,212046.51721326224,183739.91420243707,149385.31084657737,114549.48018996755,83662.77643753738,58976.26802884055,40782.204649362844,12991955.295059001,5930171.803685086,4906092.218018611,1050362.8241741958,1472639.783372766,976218.7959209814,2061600.228709782,2458611.6125726923,1484883.5222203173,1304623.3983396224
19,304,336,47389.907243304406,110686.0295317876,182403.32013485976,146458.27724840745,153237.5024226225,213061.5629317106,275640.1705230829,296085.66044538614,281726.10097536223,259386.76852116734,244979.54110996448,237957.71772442912,229317.81525464373,211661.58472173024,183880.8537159609,149918.51316385492,115314.08716305725,84508.27900467429,59786.12119373226,41484.224157163735,12741250.615930371,5881265.575908096,5034067.750017057,1095478.1460264558,1524886.8660298395,1072153.5815550503,2070945.5355248062,2371672.887512904,1558693.2701614844,1447982.1658270166
20,320,352,46467.95278938874,107966.94333882729,179718.50467482654,146155.7545370676,153509.02384035077,212549.2653299618,273335.78255877725,291681.9840291047,275469.70636728895,251747.54798658498,236310.5356137226,228515.78068602996,219455.6922848592,201894.82512503865,174787.48836046713,141979.5844954939,108799.72578598131,79452.41621119248,56037.47170248025,38792.428481164745,12173000.599217266,5784465.509398168,4900539.090952705,1088521.162857182,1486927.684885645,1053797.0793379906,1986782.4525549267,2375837.1718485076,1658642.9904879455,1406197.958224697
21,336,368,45263.37338137968,105784.15635862194,176077.7455171423,143525.76426124194,149652.47210222983,205931.056926687,264202.5680194699,281658.42151794536,266085.5148810356,243574.55964010514,229162.67454862336,222026.0113182833,213450.13065317657,196430.127176627,170008.67354448294,137984.28180302985,105586.83693901845,76940.6378989783,54107.92585469407,37323.10984686429,12185587.577565966,5719601.417711182,4816254.945458543,1073182.2745015789,1470044.3941366917,972740.5714300687,2032718.9247258857,2567203.3323293324,1801616.7041850262,1444335.5281828898
22,352,384,49203.58157607642,105430.22134152555,173288.91256079017,137955.7623538228,143742.95864701484,199877.5042541766,259885.51324718047,281454.1557193055,270842.05639679724,252877.77629136745,242025.3123823376,237042.24699158402,228959.72120962563,210895.1532741181,182353.9420830507,147726.45544167917,112762.45168542028,81924.24322715054,57413.52878720582,39451.11711483872,12678141.34150255,5689028.067279777,4823467.325104436,1041059.8480814676,1470678.788108413,1055158.5728300312,2406549.058252569,3033503.7174453516,1929385.9051136428,1457839.7525558395
23,368,400,51730.30197772064,105752.92267325401,173756.13345523606,137211.4882289471,143117.46436282428,200368.7280207584,261713.85143966682,284388.21878360206,274621.7008004781,257487.56664986984,247510.86586293296,243278.95926316903,235631.15499263335,217594.9764175189,188689.51427594517,153387.50251677298,117556.91511002342,85784.99306649723,60380.023079287595,41634.685641456854,13046545.879297487,5709683.333394903,4811452.077300639,1067077.3396532973,1541619.6772376464,1096931.130693708,2335983.055811714,2771256.999087672,1687199.065908523,1301873.4843552737
24,384,416,49657.453044084046,106838.31716486311,174997.7622701997,139289.8528365652,144332.6884965236,200263.3149583511,259688.28064567051,279658.5331257632,266977.00645017065,246938.46628269652,234238.69733053955,228040.28534814593,219825.481738797,202806.9293540861,176134.23982362653,143629.73757380786,110550.21360778749,81090.81020889983,57411.9807128384,39836.28380628844,12458131.969472857,5673485.585066662,4846845.984711976,1086023.643911073,1542869.8546611362,1055406.64217383,2366556.9679732835,2838925.645842146,1719862.1414252643,1303464.3275076633
25,400,432,45204.68345245187,108893.756031917,177338.6707748478,141160.38441585994,147999.89192923091,206198.9815717652,266800.80253430037,286098.78617565514,271190.10411064874,248104.83248376937,232329.09285692096,223635.56009291715,213804.7074932814,196079.07350025699,169479.8066265051,137618.9481487589,105511.65726815115,77127.19226198165,54454.96873582997,37719.30825598101,12109064.70448447,5692232.219072348,4967943.145561499,1067267.1857493646,1457858.673971968,998459.4534654412,2258299.293908493,2689339.3029048615,1694207.2143355792,1340171.8886011657
26,416,448,49032.29008845289,107882.07619005008,177683.71818351743,143810.3925686527,151141.0331130174,209127.3631200436,269663.01118186675,289591.61859871115,276215.3684693388,255352.1782494731,241879.7266342765,234873.66456030647,225654.41823625838,207404.4790444611,179429.01652372192,145775.1487562194,111854.62562183033,81892.85975263525,57984.92953239386,40352.81127866377,12225753.450131027,5767957.747717956,4911684.770547305,1065491.471931942,1482346.9303163674,1123009.430035933,2335934.513447164,2461630.7619654117,1649607.7251633725,1441575.5903687268
27,432,464,51297.469017514086,106277.56493473343,176984.67743841876,146997.92992898196,157703.43115990033,219672.30644968746,282129.2587492717,300436.22135335807,283900.8278915452,260312.59326747348,245082.19302331368,237078.7397545863,227327.93603370755,208805.85360328396,180684.42704410045,146925.69339451566,112897.44905263252,82815.01872937493,58782.155904787214,41032.89993295871,12786111.752873814,5897107.370233423,4829058.586202084,1056885.7818820556,1491885.9128133843,1228591.0866115633,2541800.992997138,2576650.421361762,1616160.3307643356,1334651.5827258413
