nr,start,end,cwt1,cwt2,cwt3,cwt4,cwt5,cwt6,cwt7,cwt8,cwt9,cwt10,cwt11,cwt12,cwt13,cwt14,cwt15,cwt16,cwt17,cwt18,cwt19,cwt20,stft1,stft2,stft3,stft4,stft5,stft6,stft7,stft8,stft9,stft10
0,0,32,37004.486612624074,107485.98905911362,182693.38323335166,148365.1909465766,155638.70377882235,216161.94081491567,279217.5504541969,298908.4038222793,283526.6695249947,261027.74569073867,247305.95926614144,241136.6146304708,232905.92998686057,214993.13466612663,186425.23439228794,151448.78359244778,115893.57017083371,84376.2437117675,59226.60672553423,40732.3383034522,13045427.159864947,5943639.273702451,4951528.632705987,994433.3793033753,1509530.475053366,980100.5658238678,848473.0476300305,1096960.670739582,1065160.1946569332,1070769.9811717055
1,32,64,37303.87421506002,104670.13879946903,176276.73559469657,143559.50329772336,153524.37835310271,216617.35364107293,280987.7900916584,300926.5475129401,285378.0767810936,262730.6431602725,249011.9006258362,242889.60340198874,234630.50855009246,216642.6361332394,188070.4608562748,153229.32297593844,117912.37228819312,86637.60082475877,61647.58627859826,43196.36962417622,13479819.506319514,5899818.380870802,4825288.328605957,968998.3894106186,1446093.129516638,953680.8462551795,901400.411425403,1474044.0545626984,1352347.04032513,1095066.82624447
2,64,96,39549.86824078631,111690.0832415516,191729.2435522641,157674.2510465442,165103.4577302865,226648.16224682677,292151.4033431376,314901.32794656866,302294.27225986833,281388.32274946885,267595.0812151057,259911.19229631778,249383.99689618545,229039.87747377928,198283.39465327843,161462.26179897645,124353.06702020351,91489.33570734362,65152.90115700958,45624.91111905012,13425142.812407326,6329840.916934165,5182891.92123495,987909.118586172,1469441.7473684882,1022563.7961829802,1107278.2359185962,1667584.6048356956,1371830.5409340702,1112291.2683255202
3,96,128,37519.21808407615,110932.06725834787,189357.8642121896,153524.81729492013,160597.56999640554,223508.95147875394,288708.69661588693,308639.13512432773,291528.9514320164,265944.0824208779,248591.0229812132,239000.03211982918,228136.7166561912,208717.97204726769,179808.55709385182,145414.77443275604,110975.17222222062,80725.7166742038,56734.59951855624,39170.53173664718,12775835.652952682,6077958.184681262,5099589.409267803,1014330.4766501216,1459284.6996119232,953076.9864638867,965432.784396196,1444262.843274521,1203922.4638160758,932467.0296237048
4,128,160,39096.140362143524,107636.07531665958,183053.81385158777,146213.91605310646,151771.71889012548,210780.22740587537,272297.3082481632,291409.9786386035,276313.0953241398,254201.09813954032,240641.643465874,234549.15871769024,226482.26549069077,208855.14325105087,180664.8753130427,146141.31227987216,111114.44341589672,80192.13286814535,55673.85145008773,37802.989943217355,13236594.547049299,5893587.886297341,4955089.952695441,986438.506156145,1487770.9581522907,1076989.4164906894,1095634.9400367048,1486822.2955157252,1222528.5117155632,1043769.4738339785
5,160,192,36236.709983193345,108208.22945983864,182817.0374156906,146806.152877136,153858.87949750674,215325.95262113478,279515.3546163511,299712.0196590735,283771.7478141202,259956.38091310585,244824.20065860462,237658.35533266125,229028.5256417762,211250.26610716904,183182.38309990626,148893.21924514286,114059.48926117965,83183.3660440375,58529.559740881756,40372.45206539878,13036334.511248868,5932219.071419721,5006846.358351105,978783.6358409452,1410656.4817504676,983655.2209512548,1101618.5968240923,1386100.1403890278,1076666.0413527163,958830.414283753
6,192,224,39280.30125444147,111992.04403335776,189332.45711922582,152044.90147400697,157438.7000693915,217049.75600639163,279950.7369020168,299870.8713034644,284506.49284385325,261623.87696047165,247350.02920967608,240710.55469060937,232149.09352826676,213994.99681974167,185253.0274345175,150199.99196814507,114697.85981143171,83358.31659250332,58471.33819260405,40274.11759397286,13464132.787175117,6116666.007572032,5163237.418807037,1033914.1287459855,1525382.0010996251,1020826.0867565495,983040.3590242353,1420110.2356078487,1383000.8099289956,1145261.0127371543
7,224,256,36447.290647659036,107538.59206191398,181856.23401543841,147496.75534938058,155087.43802712296,216083.61484086502,279780.2996022625,299933.8953436913,284436.89819052495,261124.9176011122,246124.4071588026,238598.08774023427,229274.3405886211,210739.06856963199,182070.6743153394,147431.02599882561,112481.92211961994,81659.87750778899,57159.1062120127,39196.66783295784,12870517.218629194,5975167.81867771,4946296.78888647,1001212.8445035461,1474818.2865478212,944198.4100350509,825412.9987739805,1243322.6208395462,1122450.6057365548,999361.5356333773
8,256,288,39401.238621275355,109181.61345253538,182638.4282279388,146599.0627996071,154128.3945630733,216015.14096459432,281542.8393102255,304536.6731905536,292363.96081429045,272341.5759095084,260087.06780705345,254212.91181643543,245127.26542645882,225504.91769905915,194826.95723493202,157761.66367862048,120412.1785294682,87506.18730651296,61366.936681066494,42214.377461121454,13511615.713061174,6002976.478731102,5000323.95396893,1031998.4034805701,1524088.563974074,1002867.911752146,922247.6177509595,1154062.7854640689,1037986.9338210098,865177.2889938463
9,288,320,42283.919110223804,111112.03248043598,189315.94733336894,151304.0817968783,157996.15388410923,220209.15486374096,285604.42087455944,306958.04672525445,292187.5983171768,269502.0362406445,255073.83381315612,247798.20369800084,238165.2015734473,218747.89123474414,188812.94213732495,152786.41040055561,116556.65465101587,84690.9105105221,59416.25113714907,40918.010769120585,13754406.95449734,6095350.560584119,5143422.472601095,1018180.7570923775,1627160.7125768121,1135271.468991742,1112545.262664614,1523267.91145137,1222263.296489706,936165.6192997516
