nr,start,end,cwt1,cwt2,cwt3,cwt4,cwt5,cwt6,cwt7,cwt8,cwt9,cwt10,cwt11,cwt12,cwt13,cwt14,cwt15,cwt16,cwt17,cwt18,cwt19,cwt20,stft1,stft2,stft3,stft4,stft5,stft6,stft7,stft8,stft9,stft10
0,0,32,39276.22900974712,103075.00049326902,177838.02399782426,150308.71548926827,158383.21235953752,218274.504751897,279735.1938190058,297246.6265011783,279470.11184156785,254454.6214287403,238502.75065281385,230932.91290327956,222324.72230299521,204888.87487768245,177361.2343426091,143721.07731674315,109586.1911661751,79417.42877074744,55446.849053153994,37919.937131369865,13093221.077308716,5975685.770743122,4724749.935907168,979066.8405232163,1499159.096112796,1067315.519032428,1163352.2332643026,1549229.1746580969,1235376.0526901253,1015336.1070360222
1,32,64,42547.57171082755,107003.53030757161,180733.09526985575,147811.7648624729,156515.0688729873,217095.73669305848,278557.8075223027,296126.1461079121,279313.41171007615,256255.82058273224,242581.8929770282,236899.32338309143,229531.8986651771,212780.6349204689,185525.57568388915,151818.42762426956,117306.36660599207,86496.28761090308,61708.07596749959,43302.39283090205,13292319.372017762,5985446.657567932,4937201.192957357,981594.0613900106,1509571.6627214248,1148883.3699812628,1183105.0141176616,1627495.8395835827,1387409.889432263,1076148.1662996022
2,64,96,38380.43599187189,111740.3162173586,199764.37283438735,169432.47370402224,172091.52435837494,230400.92515555062,294242.48971448746,316434.72410781035,304454.1172318749,285688.1923474863,275578.50339818734,272213.42842903675,265120.8012191312,246174.74119205785,214577.21665463725,175284.59782998788,134991.13215138964,99013.77724580359,70084.9978754105,48620.710005673216,13959552.293523781,6576035.936213888,5174179.692938442,1002065.025026336,1443949.015606136,1059787.1781537323,1075753.6671064328,1457493.329516713,1318941.863377931,1013230.7881504106
3,96,128,38188.13254854561,107766.56091635369,184511.37390820187,151457.45738568486,159973.87944063387,222061.1685447925,286185.12012467405,305628.52055791346,288831.04637289536,264555.52984012873,249293.78124487374,241993.94500723472,233021.72049149201,214697.83899396402,185966.37800691903,150971.22157994396,115453.11704090984,83979.47893022878,58869.509699470436,40420.23056626829,12918867.133425605,6043445.905367822,4976434.504625984,994156.4183767224,1498180.7550438335,1038784.5738203754,1051586.9599927592,1566084.3041011377,1424025.597264329,1036203.7489923777
4,128,160,37473.6029555338,106802.21002899285,184622.39215898584,151135.41095979215,155502.14423206623,212121.48925543204,271893.56551918277,289684.74404739984,273280.1974778904,249896.68451138432,235326.6342796082,228675.7090695959,220632.4666026186,203655.44270597573,176637.81872810776,143557.8955812621,109940.13449034294,80151.4893665395,56383.52855896989,38900.52217307181,12349858.413642252,5939344.891120886,4927456.525074302,989723.5516527182,1463438.1647743203,1017302.8198662124,927742.8955773859,1433181.1623100946,1330656.0666898754,1080361.9646273502
5,160,192,37139.877277055995,108131.18313746393,183111.93431905072,145237.55496750833,150884.68489327704,210415.0234919632,273485.37589526235,294320.85315066006,279966.38382048276,257602.25804229942,243302.37104343658,236379.91863214524,227694.6897141242,209877.3186239792,181951.57952486377,147971.50219654886,113507.52467173326,82964.18351712046,58564.30033290031,40588.797644543476,13198073.901366435,5930068.042435813,4986887.467823764,984553.3921553614,1479540.146062991,1034783.0759937769,859418.1125920105,1142867.220834662,1115893.8793714468,955664.1360297969
6,192,224,36220.43399385827,105688.93432634829,179989.7836732219,146894.74740320808,153275.59756575024,211343.4081010512,272192.67362161924,291609.76260614133,277549.54207412543,256773.88170959748,244386.37114816345,238925.01071557117,230910.07431430838,213037.16148789527,184619.082910233,150015.51167434,114996.21790542314,84040.13310528015,59359.47750884821,41189.614453708506,12705556.012683032,5823801.2583323,4872154.814701903,967221.2769018743,1414729.1770454743,992153.8573874533,943986.2530264839,1421339.1734803824,1307964.870818067,980752.7899666373
7,224,256,40146.54814651646,106451.1402651748,183303.91379384501,149396.20363025088,156244.05445207574,216657.00160214023,279322.85461405147,298377.6515775102,282381.48333359085,259436.41346987907,245624.7246499576,239736.64315989419,231917.1597658522,214302.0755155519,185862.33754549595,150925.34389985274,115409.92345696098,83967.23819710551,58918.332989076334,40531.97747359058,13154812.330273703,5998446.774209483,4911205.933077704,961909.9324280487,1447896.3234794284,1119726.4011430235,1096882.1184714278,1490779.8322129615,1324579.1276455882,1094212.4242990725
8,256,288,36543.93645424425,106173.06012942253,180573.662392199,149882.52590142077,159077.1619151371,220927.7521558468,285046.0201583949,305757.9873978277,290955.8279441201,268226.84411456296,253668.80132128327,246454.46922643483,237213.86453841015,218412.4614864982,189097.747189158,153512.68799771077,117468.8119686895,85559.13335835854,60094.76491170223,41354.0052610253,13935010.55042254,6070442.628790954,4863988.021996429,1012341.547619436,1471807.2164111908,1016283.4777658844,941091.3921544593,1330676.8678215768,1186403.3025068583,926624.6388932582
9,288,320,36335.85939536904,107796.25496565859,183712.16429707393,147653.44587030043,154650.98650614827,215797.2743606118,279480.8805014147,299703.2501153773,284461.66394961433,261702.82476503376,247569.13025254512,241006.20839444207,232453.8636025708,214340.8112385478,185754.1273178113,150952.4714043917,115706.74801255137,84538.2459298451,59694.69723822259,41422.61545528544,13617005.963549072,5988364.881199544,4986293.88118952,982939.6099351426,1444159.7416058423,948836.9104678151,1013330.1573932507,1726270.8346008202,1496743.5446630367,1092120.2927011687
