nr,start,end,cwt1,cwt2,cwt3,cwt4,cwt5,cwt6,cwt7,cwt8,cwt9,cwt10,cwt11,cwt12,cwt13,cwt14,cwt15,cwt16,cwt17,cwt18,cwt19,cwt20,stft1,stft2,stft3,stft4,stft5,stft6,stft7,stft8,stft9,stft10
0,0,32,61522.67049055362,113910.82658631919,192052.3402576788,155505.09649430183,162259.8795711131,224358.73053914696,289335.06481447414,309624.9143860893,293490.945889049,269292.3105631055,253548.03836818275,245633.4134065226,236152.54984880736,217389.74825128532,188224.46626863503,152818.09768168596,116960.15868547552,85238.11969575094,59953.88574105393,41371.76336860544,13608513.272886848,6226360.407808274,5228838.090350988,1061183.7634025153,1694893.3197309312,1639457.8940133755,3151205.1070111385,3396233.351238433,2091782.2693480598,1772968.5754735267
1,32,64,61999.55225270035,116185.27658661891,194315.9905429491,156326.15699526493,163531.257697908,228335.27824586534,297350.33152061555,321399.0156516493,308123.6730617008,286678.4463421485,274109.67463454546,269209.5283711704,261512.55854099026,242635.32425936635,211513.2978552521,172889.03054119478,133296.36398665758,97950.02601191652,69538.88853845962,48478.91907028736,14580771.527676754,6371350.912817066,5306980.623289006,1125314.6739491883,1756432.881360863,1623647.3107676937,3240479.7765768566,3751887.353418945,2151491.431550207,1661769.4383990094
2,64,96,66832.78324497041,116351.70958773237,204402.08462468933,180560.2422095243,190903.5445882102,257797.0857866034,327927.30484354345,350331.67542180285,334513.2298635584,311784.777704673,299668.6718641659,296330.7416127026,290440.8934367278,272860.2724642521,241969.36774922576,202232.1673748618,160236.77110137363,121542.38176916266,89330.71371989023,64493.54618679051,15801897.980198765,7227354.6602818845,5322620.239900916,1127246.0509581475,1761707.4427605914,1789943.8887276142,3130306.2880734503,3500825.2999219117,2241687.212705958,1861967.9462563165
3,96,128,57615.115535945166,114250.73696921827,194624.2856338481,159227.70430928553,166899.28719876593,231868.54922575908,300752.03299882525,323189.8156463517,306498.81562002306,280534.3584978418,263396.55818994145,254803.87282086012,244855.16072714486,225306.6321611875,194883.63369779222,157918.1621647043,120487.62742427477,87417.5570887868,61127.336261390374,41884.87874086873,14345479.688756675,6398307.397854641,5241381.306106928,1065963.4287627554,1712571.6843212333,1610029.9156687683,2644914.1612100485,2885239.7271947726,1640958.223243828,1134232.3309284262
4,128,160,62808.451665961926,111937.957523478,189820.20500547404,156549.27217130252,168120.38131867448,235690.76209087978,304712.62765573035,326188.54950298293,309509.4528820983,285140.9791514223,270315.9807362917,263632.8611621598,254633.8382769991,235080.50737489152,203943.64839944584,165823.1786432651,127025.28974248018,92562.4728443051,64995.184342874214,44677.53890667376,14458904.980829824,6369492.928166971,5160058.821355154,1056116.267346804,1644245.9891975701,1712728.9906048188,3344710.2304118923,3726388.422082817,2133388.2727078265,1739346.2445011267
5,160,192,67828.42225832926,113380.31236483403,192608.79955659137,156980.16459933456,163862.18045171513,227809.69134503303,296361.79623337614,320090.6783452314,305943.24588792265,282803.49865150696,268012.92606526264,260905.81152710106,251540.50995839149,231857.4371467706,200837.73221254742,163039.26838339644,124703.27306606818,90760.03940597708,63688.28489800561,43784.35506971176,13487853.744069995,6255373.364646683,5200153.51284664,1084241.2825205252,1748344.8211586091,1840697.7430328424,3635984.075013557,3843174.4881620463,2140526.1239710525,1834241.9246228852
6,192,224,64672.15729216978,115648.60305797034,196112.53529505458,158606.8951486891,166911.614647621,232981.79085797872,301817.50390039035,323767.36322279926,307147.6154447145,281967.03151997516,266219.26251041505,259490.33829961965,251556.5816152884,233692.5087263043,204216.83796571742,167309.27713171343,129160.51154191047,94868.06627266598,67151.81273687643,46518.58716436026,13881759.034408364,6352483.139914909,5317460.24408813,1076404.8418628525,1750118.3335054084,1779372.4894606243,3338461.4128066334,3809434.269956449,2379753.2434729272,1952444.5896817646
7,224,256,56459.58468696183,117049.35781842738,198699.526420869,161058.7427514246,168506.30482080285,234085.15230038192,303080.3687942015,325212.14021207934,308374.87104641995,282484.474908721,265396.00276703644,256776.62365567527,246877.32810028404,227571.96207298123,197543.8052903496,160970.78294149612,123775.33446059172,90704.2167270563,64188.75135127855,44570.38316882601,14686155.881416017,6516598.907889348,5394554.730427011,1074181.3970963762,1636109.851446709,1588148.8767910406,2797498.4378185393,3182840.7822174467,2176039.173506653,1841129.650099666
8,256,288,60681.93406521415,113060.88549592147,190557.11785473154,156488.53156488412,166189.0301801885,232303.65068710537,302571.7496387175,326970.62607859855,312565.294794649,289082.941527137,274649.1751655097,268743.8614978055,260909.023571381,242376.34810910132,211691.9556375107,173387.00177138904,133948.72992612887,98627.02487207245,70162.20173437419,49011.168072580236,14634492.707827915,6355427.223073075,5185547.048361781,1073093.649364589,1704886.715848849,1721819.1078620073,3217789.9474002807,3251677.8534563426,1698825.736572533,1232521.0646525251
9,288,320,64199.23210220637,114549.84668135371,190414.68870038664,153205.18790305333,160794.44006535216,224019.43864804684,290174.21287331363,311989.4731867345,297937.3212351784,276785.1844792719,265080.9549168189,261452.43305281558,255357.90947510864,238200.68167470366,208633.5264255383,171209.64912781163,132428.04323940596,97577.28654845255,69454.27980403695,48568.099922147776,14062159.065942297,6250363.237817498,5220657.496972511,1136128.9634270293,1752384.8302250537,1741259.242087152,3461521.6987644187,3493113.1163440174,1993254.7995265033,1577806.9356567285
10,320,352,62482.878532359515,112715.3401574538,192615.9798521884,158368.27344245257,166800.64830029063,233571.95237910026,304398.98019586684,328856.4953963632,314665.1312234132,291476.4471858006,276655.6056945838,269287.7152248514,259328.04880851222,238781.015632533,206745.38470514354,167886.59464613753,128532.71180592212,93680.58376931268,65851.06416343898,45354.212066668355,14104726.09105166,6387055.20819042,5180586.677714307,1075636.2326256158,1748801.175106064,1714156.3611509765,3246140.0725001898,3380242.955768443,1914783.059511977,1353750.3099208407
11,352,384,68246.0303891853,110426.46882049082,187933.2572659405,157587.36149122193,167367.64519559333,233510.96502970473,302665.7211113184,325211.0945543903,309436.9637650433,285231.9379611654,270134.95498269395,263315.17788415914,254570.27972113568,235563.1922998172,205051.03203637837,167471.47935551,129050.28666220802,94776.64705421646,67224.31475140346,46786.741796370996,14129474.548644742,6352573.081283818,5030859.854313556,1105999.8211377815,1823227.3843790523,1885212.2421815207,3511982.0081721595,3820393.2592908973,2395941.8835391356,1814680.8674788703
12,384,416,68476.70404674445,116697.5078272137,196681.15007952412,160501.3455476045,165784.15206655604,227840.89027263873,293606.1382766076,313965.4411925149,297370.0298226379,273292.17263771564,258472.8846825035,251684.32791334123,242951.57907927784,224338.64782423573,194767.0685600013,158560.68081317857,121707.59577083305,88975.6297235592,62793.40788213021,43486.73196092318,13943106.810223995,6382067.239763723,5325908.023398753,1150291.8864747148,1855325.3652568823,1900985.558609317,3642403.0723637543,3974280.831773856,2287943.562035472,1814151.3467917508
13,416,448,70407.95978693459,113188.8715207751,190860.14388407022,155287.2815394086,162430.78473979613,226863.8072433622,295830.99044259085,319624.9709027345,305288.8133220987,281814.15308256703,266647.9915097108,259324.91855942053,250077.20602072636,230835.1577190001,200412.94749754315,163184.70450116307,125282.39438868557,91609.75816069666,64671.43531189952,44810.0450342366,13423646.69858228,6211824.574431857,5199187.381452318,1055458.5407133852,1702842.70743798,1889065.052436299,3990937.9871039186,4147461.3134222194,2073612.4159525335,1574402.3137697598
14,448,480,62887.72693271661,113041.19371042038,189018.752470833,153454.58273296378,162961.1151273174,229624.89789259652,300849.7455967518,326793.8487995461,314004.6006359066,291659.9251871011,277574.711212838,271277.9426900134,262720.6028328319,243578.647299721,212586.7871206429,174210.79528920742,134784.97769061514,99453.3181162447,70932.13440473337,49705.260986678695,13636854.4397327,6243912.006249845,5163031.556389923,1108184.0412219628,1742779.4045411663,1759667.1166040045,3387169.523594463,3471256.6122947554,1868812.5046254527,1508916.7713642768
15,480,512,72428.71738175585,115974.46560236986,195955.3802521372,160755.7868741236,168432.30340697654,233489.0875357288,301631.4864665817,322715.733782848,305175.56968457036,279144.1770501881,262496.45966267335,254862.1991265082,246297.48210983517,228334.73434544704,199340.4596809694,163338.22321712488,126268.39573045968,92999.41401474518,66111.48389717248,46070.80819037683,14035281.943312246,6454490.75884395,5283420.161295586,1149415.061856058,1942336.1170249297,1994448.2940726145,3570174.901700264,3937838.9733533235,2598003.928626283,2246564.8601962267
16,512,544,75491.01958362463,113876.21923639122,193505.6347213037,160076.19602345146,169084.8206028247,236057.00460312396,305486.1201149873,326958.57576261647,309610.36003878294,284042.8360946244,267688.92630523397,259546.9724725557,249598.24736721837,229787.47105834447,198971.2038342028,161503.47663271017,123468.96659318612,89741.03712054386,62815.1327557046,43027.37545190643,13850981.26380998,6361282.246555822,5188696.841414642,1127568.8131298642,1858951.4086492767,2060202.9687703352,4494742.603304385,4510258.260000848,2099093.8030144945,1501741.3263372043
17,544,576,74764.5499815582,116567.90789565891,192491.494814856,154121.95576173972,160573.5728640527,221970.85840490204,286258.9464606395,306561.1083616548,290992.2778436276,267960.3810382734,254063.01308219577,248439.73991689723,241223.55163580502,224199.6459456853,195914.3199651526,160474.24848844582,123865.00432998671,90991.45482628395,64458.118920751804,44737.75248916953,13921136.784252249,6196307.380739497,5334004.738994994,1101754.2587660474,1852370.493281294,2130603.530953492,4347910.524872611,4425584.958486235,2450618.637148845,1749585.244723446
18,576,608,74385.00934749257,118293.24565541321,196547.72426501394,162569.99151186217,172382.16197446143,239230.13415975872,308474.1229994404,330262.66516324773,313416.92233953485,288344.96878512047,272752.0888795483,265783.9494436777,257140.6183141454,238336.96084989648,207974.8342456324,170391.73154776613,131796.0850688595,97224.14412320734,69321.35869257108,48544.49118702228,13990885.969741557,6501204.555008667,5357707.637611521,1203378.2035366036,1960642.8019281873,2023598.5041883655,4129670.9693320277,4452607.89183948,2551420.0328437462,1917669.3213488148
19,608,640,80344.22796603105,116095.56810126235,195644.19360533566,161079.23525615278,170936.2890119134,239921.63519244606,312533.85378321697,336916.23843921797,320661.0913038398,294556.6456968628,277427.28258182935,269233.908260571,259876.94042560196,240674.49597168432,209947.31844770425,171866.28056619922,132635.8068931914,97393.04181497816,68900.30564044873,47685.89892396791,14468184.880352143,6519421.1550937155,5295362.659222776,1146150.7347614295,1962591.7577697046,2238071.1663229708,4797102.739124833,5218202.375277726,2530855.2096225247,1835929.3137241635
20,640,672,91520.83187505107,115638.4758258223,193640.95230251606,158268.92569988774,167781.16515852849,234843.0536421127,304317.3698759511,326463.7020443395,310192.60217199655,285668.24916228984,270216.2953184163,262957.07985697174,253937.09836011688,235000.32154853878,204818.3308169467,167605.07870223263,129417.12864407917,95201.35553949932,67577.81743034688,47008.85544405943,13595312.005473657,6338794.655474089,5263060.676863231,1150614.8510799878,2000364.5608663813,2516762.7161530713,5789847.550615542,6324389.688582517,3177387.905061396,2519860.0158801875
21,672,704,102295.17968725644,115351.2592438867,192820.57386850257,160777.60689399837,174182.6492758043,245343.19469652371,316661.49704391224,337048.4604662083,316930.3486871851,288387.3256651862,269508.1394413863,259527.28044614464,248606.54392780436,228724.42620606808,198518.89361616608,161967.98267142547,124799.5268384388,91668.47930291199,65011.41936339738,45218.6490023041,13961573.687248254,6443434.656384319,5223020.652383851,1194542.3540206684,2224921.848582212,2977301.3759605065,6458142.290484907,6312523.996646691,2950956.295230914,1928013.6937788683
22,704,736,94079.98778781581,116886.92630286122,192674.71541574015,157953.53145246019,168525.82755293915,237498.65067451855,311673.52869688196,339035.76656284335,326077.7145372549,302913.20564742567,287788.05225386453,280208.1754263179,270110.7276336982,249283.5237175968,216604.42784579544,176658.41524566608,135875.0211315277,99466.60406145501,70174.23004913588,48454.66265332454,14365809.90791628,6418273.034076014,5295114.322418377,1182949.8232898961,2134312.6341046575,2519449.4968733108,5852359.314137476,6830481.2861440955,3892594.337617715,2948104.9958512983
23,736,768,90825.30718986843,114008.28578664744,189842.25409112053,156931.1526058131,169538.13831920497,239789.66460000435,311492.72080527333,333835.77619193593,315469.4339548463,287269.81761832704,267554.96759497956,256323.0857013664,244266.16063882108,223563.77871095267,192900.15155499324,156253.08075718064,119318.83533001218,86679.99082898209,60668.20990234243,41563.1915334991,13920804.634605384,6329552.890717637,5166182.57132333,1149331.8938771377,1986382.0855794938,2742574.5448639737,5930921.166675325,6049798.97741599,3189896.866830968,2337464.817577226
