nr,start,end,cwt1,cwt2,cwt3,cwt4,cwt5,cwt6,cwt7,cwt8,cwt9,cwt10,cwt11,cwt12,cwt13,cwt14,cwt15,cwt16,cwt17,cwt18,cwt19,cwt20,stft1,stft2,stft3,stft4,stft5,stft6,stft7,stft8,stft9,stft10
0,0,32,37169.900142929684,97099.14785461205,162858.93815814375,130724.82005561,137751.87448749007,192882.42347000545,250088.94192454594,268538.03488222597,255215.5826921243,234708.1077361441,221258.13929030226,214294.42490183204,205959.5358644395,189886.18608436687,165131.42444830725,135079.66818249566,104497.4940841811,77229.69664266294,55277.74819086692,38959.22835354547,11211366.528423363,5251673.225950026,4441067.972262241,945097.3864556225,1454209.336967645,981436.2555900903,1029474.9492467113,1399024.2346492736,1115018.7333350393,914525.8329938478
1,32,64,39217.72821029193,100801.8526839708,168558.44162739703,134835.24393790713,141483.61167031678,196955.3392277321,254029.79585222423,271270.09854211466,255999.21083199698,233618.15264434068,219102.21184947575,212037.93908994045,204172.95711751078,188638.93927768068,164212.72702630248,134241.1612706636,103575.9448098267,76164.54273507783,54079.667665465815,37669.36314088908,11487255.266623251,5406527.547692473,4620320.320636359,972592.1702510172,1503054.1783408686,1094714.367143252,1057640.0440941516,1402503.4116464003,1310805.3681228643,1093514.8160864224
2,64,96,39903.67071372156,104240.66229238214,175408.43143297656,145760.98018000807,152832.1616017927,211672.2144645347,274401.59062203404,296513.5053654541,284226.6651077477,263497.457767289,250024.87943295925,243495.38928429293,235268.39607573178,218139.72685690277,190931.0872675965,157370.6786462843,122814.09015334181,91651.65460842653,66252.4067693944,47108.10872661605,12564661.882631663,5892839.925291112,4729903.599933484,1055662.1448467646,1528755.9733126871,1063001.4728031575,984386.2480278747,1304626.6815561047,1172237.5057766694,1019453.250468228
3,96,128,38520.78314523671,97230.03472317957,161195.38486580306,129604.09619686635,134536.37784689837,184678.6939754237,237197.951270638,253890.55827684925,241967.41658824426,224645.07570333217,214781.33446893693,211004.49156150554,205116.9639876193,190673.46698072364,166802.44365627316,137038.72526704587,106328.99324757906,78694.40012857695,56285.27924735656,39524.565423631924,11238055.334243348,5214565.405971429,4440568.113213903,956799.0006495996,1506113.801996238,1048973.2212134132,1017836.4575837556,1520464.7978328345,1280408.5555029367,1156032.1279808467
4,128,160,34340.37777186175,96350.739829843,161029.77021466003,129120.20210001899,134310.30308545043,186268.01172804832,240947.77085151302,259023.83929287808,247084.19545108394,228726.86923496783,217574.84635208928,212655.97282620647,205757.66367121544,190336.23443333435,165542.65824916534,135031.97621520126,103858.98399463312,76069.86567285155,53755.83511467792,37237.54055008579,11475596.609883389,5261773.623478794,4385474.811910697,934455.3623020404,1395622.0423975976,900778.9471540304,904925.2183107123,1402415.511202762,1144380.1014790386,850713.65624445
5,160,192,35586.446490229326,100702.90282191148,165270.01435169097,130070.45700416456,134867.07536236924,186252.85938167275,239668.4056237919,256602.63180572112,243747.5783542805,224152.0426538685,210950.53452104112,203432.2362121263,194270.83770137606,177744.43740183816,153279.43989681941,124258.10840151901,95189.7058301929,69588.56450120822,49190.34640018973,34164.73833319981,10970338.286633076,5230775.772890187,4596093.564219183,975068.8625066753,1458316.4952729677,951480.1211290029,889314.1792302078,1205161.1084837122,1078695.5788822852,924077.3711303809
6,192,224,38588.34229940863,95027.28864021576,157854.04093715808,125804.49867187529,130456.77209649615,181263.09418297524,235963.18929141224,256159.54522407084,247223.17415940095,231501.2824089279,222057.74152728406,217880.270948366,211032.59331838376,195313.2081872414,170096.2342245508,139122.1188924758,107464.56712763367,79180.73072453856,56383.48932576417,39421.36123110945,11265651.274783017,5164892.642210232,4324061.158028758,944526.0956764647,1487546.7478332978,989643.5834847138,1108952.4829588474,1663092.3162745887,1393969.6443749273,1049760.9791457877
7,224,256,37769.4185023388,100977.3596169771,167486.68400059632,131246.5182549269,135689.83294704882,187456.49860899182,240834.61722741637,256600.20843160016,241986.12210410106,220951.5199957542,207245.42163934928,200241.92167576207,192262.10718593307,177092.94431877052,153785.33883401248,125548.72518505236,96887.45307642705,71403.51664800094,50945.162191465475,35778.06765311964,11391925.434192196,5300991.914875901,4623335.226485758,978095.9884333978,1452346.6670032395,1030683.850859745,1117157.0748809036,1377372.5159597094,1094345.143999632,984778.804857746
8,256,288,36214.87356601113,97848.27633599906,163310.99543799306,128427.96316469456,132128.3396986349,182094.3244583971,235394.24533593492,253361.763959343,241547.49018782703,222862.8159502351,211239.41901980882,206246.182831892,199870.663508235,185424.8963831419,161798.0090576057,132431.08487128365,102254.57062891056,75259.14822064106,53524.01731621718,37386.923361662986,11357533.786399692,5209715.34063767,4471416.911575304,939611.1108473303,1460284.4069536221,1028209.6690911172,1053013.2958827685,1321083.5968990098,1057117.955313898,895246.6824152552
9,288,320,37491.33018530473,95484.03760332035,159908.70247115364,130113.9878740256,135856.1661034797,187810.7858997054,241478.97547557187,257547.42807365852,243178.65767886964,222386.18743896054,209060.008458208,202616.38731447826,195209.07577676285,180379.0702378168,157040.91100080495,128435.09409205953,99200.28547167385,73086.86089236755,52051.14130361491,36413.18513767718,11250571.109469961,5222384.486623165,4332525.189754774,963606.8878488687,1465677.1270624204,990249.3880821719,1010697.247527135,1345011.812671544,1251684.8227864397,1312476.4251554597
