nr,start,end,cwt1,cwt2,cwt3,cwt4,cwt5,cwt6,cwt7,cwt8,cwt9,cwt10,cwt11,cwt12,cwt13,cwt14,cwt15,cwt16,cwt17,cwt18,cwt19,cwt20,stft1,stft2,stft3,stft4,stft5,stft6,stft7,stft8,stft9,stft10
0,0,32,52414.10336959169,106926.97887455633,180988.88837955045,147836.12183221948,155184.4693936466,216057.65113267238,280611.2878193818,302443.2630910119,288412.920498234,265935.62319514336,251388.35242634494,244198.15697072254,235119.18349772756,216639.66897185458,187767.3013691771,152675.99331681454,117104.39798841836,85588.27858129026,60409.58432853688,41845.8861197434,13036796.30810687,5946399.464451994,4894981.34511978,1024652.0681385961,1552066.777692886,1412870.1659256287,2495887.2463402767,2808631.862016676,1790712.738595813,1376571.7957995
1,32,64,50453.409684042585,113239.23728908219,188269.24692698018,150042.91129495387,157304.43218608596,220388.8745937776,286353.57641986216,307628.70912916673,292071.39019414235,268183.9450909344,252680.0312643895,244979.0222294408,235763.26691436622,217371.97285317737,188612.16902000186,153512.1320552362,117779.320609226,86005.6759630764,60553.81824990525,41760.67059627551,13528422.075199712,6093128.653979186,5167440.117588017,1092741.87781937,1629090.3934926486,1355500.922394327,2029057.0248744488,2256455.6164593794,1489468.4592300295,1103170.6782327462
2,64,96,50569.096574154355,111680.34864549694,193519.87174400483,162704.28871933807,168027.1670529471,228695.39089459533,294661.34553594515,318996.6835525059,308932.6816604665,291932.10668542224,283766.7435840328,282536.108066591,277367.03695582,259588.00888474242,228036.617389225,187665.94389506849,145487.5266088193,107278.86216114722,76191.24469398595,52910.26101865698,13796277.999414664,6453624.653312761,5139705.744957845,1061532.5165382745,1621270.6650722479,1328903.450286444,2179193.5684497408,2296536.5320557095,1349999.5848094597,1003699.7239801204
3,96,128,50627.94954024796,109217.13504467136,183185.1161848113,149438.20419455104,156564.75878501593,216217.89988185224,278494.78855015157,297845.06922728906,282354.93648886686,259818.07198813424,246180.84267038913,240249.04031936653,232290.84113405892,214532.45999140735,185943.23240861075,150817.88990246234,115076.78180272013,83411.4691722648,58188.30270701032,39697.08377722582,12972289.661792148,5966650.688175854,4996674.051449414,1057420.6003792167,1539962.4345346412,1269543.927735285,2192741.0461326563,2537058.3342579836,1916302.939161982,1497030.9230673492
4,128,160,57391.77731740168,108352.66799095787,180486.72011484986,147965.30793149996,155402.14102652474,215400.46264826154,278096.253017053,298244.3426455853,283476.9909590736,260952.78919203815,246656.28898270737,239918.77314259327,231482.03260499076,213736.62906479702,185553.4807256767,151018.11930223217,115852.70898216333,84622.08568195747,59647.765250510136,41238.17351018059,13224198.527868655,5953140.3521849485,4911858.498845543,1096031.9749459669,1701524.4922198919,1502120.474704663,2590091.2726943255,3033272.227977869,1943125.1637070398,1358979.2964721785
5,160,192,47966.71205492392,111832.7772069592,188176.71767443966,152202.20676735332,160443.10908379138,224204.13380505046,291307.52069251443,314280.8262890423,300379.72568246373,277762.3138771921,263197.3495054205,256016.12637873355,246597.45924203063,227132.08847536758,196627.2440532024,159525.49035873983,121931.36893651723,88675.7753530903,62183.865255665805,42734.1953690348,13264729.277371516,6137364.733013384,5127330.465087558,1065158.1379432122,1587346.4003334823,1333263.341943508,2061810.611505896,2475468.8997203535,1772246.1460855352,1323816.033796298
6,192,224,56068.55315456558,107323.11729398755,176977.55842543332,144454.16185476995,153659.87871909703,216624.66657243256,282436.3670871984,304420.6516976005,289817.72234706674,266583.1286239772,251624.65905357958,244572.79058592572,236005.34005270575,218074.36111114515,189520.92910158428,154426.55992626373,118593.14487174166,86692.47731237346,61132.870336229986,42265.66220420196,12854247.348885084,5846302.195291033,4875391.492327003,1086175.6337816275,1607809.583814525,1441319.234689513,2725756.4938829984,3189516.0856637154,2121139.852363635,1644991.7223643726
7,224,256,52017.08621609558,111085.80960258495,185900.6555485835,149201.64634355143,156563.5784826097,217870.46243387344,281463.37139485375,301278.02071495104,285584.89362029865,262226.3237122664,247217.63504509555,239674.2324973415,230310.7995209764,211687.02834778896,182851.58651666946,147965.05638579084,112727.14675355682,81632.78880845399,56925.108534730774,38842.25646599216,13399318.457186816,5983476.561414602,5109033.495151789,1050905.2989310874,1568817.9402805842,1352099.8235464182,2284762.7503791833,2690265.214515343,1916299.3318463955,1440099.0067539508
8,256,288,51803.646205366764,111345.91959960034,185446.1660897092,151241.20744058795,158839.65480310944,219904.95563527543,284096.3848417464,305171.1965542504,290693.13902810885,268245.75789578026,253974.90271757587,247105.26279564103,238311.3548754721,220023.09117501072,191166.69739227233,155862.6546249814,119873.09802694278,87824.3749740425,62106.9813467796,43079.99276326868,13290989.612560377,6079127.455102915,5098831.472088045,1073454.7007422552,1639788.3362527918,1326420.970338501,2336838.115234827,2714666.6053426308,1805317.8717974438,1562694.9822816944
9,288,320,56400.06563766541,112461.2424463999,188156.93853657477,151080.93730275953,155423.76381358865,214381.05725087636,277088.1382914448,297708.6524627226,283628.5312069531,261851.44240447492,247992.1291257834,241057.6221706317,231866.66009048908,213199.15723385854,184302.5979790075,149428.01740193425,114261.63784095275,83236.41885424004,58541.81014337037,40399.771495833484,13033652.399491277,6019092.120168565,5141628.050722113,1097992.7559473438,1691477.8723371653,1456905.5267454998,2416910.5623598495,3121557.8145887684,2408101.4734656396,1986502.581827019
