nr,start,end,cwt1,cwt2,cwt3,cwt4,cwt5,cwt6,cwt7,cwt8,cwt9,cwt10,cwt11,cwt12,cwt13,cwt14,cwt15,cwt16,cwt17,cwt18,cwt19,cwt20,stft1,stft2,stft3,stft4,stft5,stft6,stft7,stft8,stft9,stft10
0,0,32,39777.82048375448,104571.31578220635,176287.48276764297,144756.99118346206,154159.86399836215,216204.38307292745,280593.4042643884,301689.7087313119,287300.58469464385,265245.6046457525,251910.59393152138,246454.64052815936,239123.19604098206,221870.0951102827,193405.6105612498,157936.8431452888,121469.46616082925,88871.17524331859,62687.860986975196,43339.79080839045,13602569.03668066,5951549.413924578,4781789.993329473,1019364.4990946482,1590204.7202358244,1010659.3307811695,1122638.214660298,1545856.9043355274,1280798.0608926453,1202204.7913867554
1,32,64,38689.08908676575,107723.9652873554,180299.71571215996,147354.5464642137,155716.8372033106,216833.44255055054,280718.784545159,301451.79724440916,286865.9128351024,264552.0880297286,250331.91473268857,243268.4733451308,234264.74332846317,216085.45751680477,187781.39472517322,153341.3193958225,118283.4329500963,87030.81849451322,61879.07838855569,43189.426709845306,12996208.401152153,5945258.423035441,4923321.24042446,1038124.2975549261,1521349.5046529104,921032.5247937228,1135133.952574519,1590316.078135168,1322352.697118609,1158311.111138546
2,64,96,39805.70904688139,111825.69970597369,194254.66974822915,159395.53081841324,166663.27212109897,229654.05303936012,295279.95637224935,316201.7237195277,300835.08537914464,277539.0136539546,262380.6515858589,254444.66375028473,244587.65197828098,225503.23923101928,196219.31622012958,160766.70972419324,124724.63588005629,92554.36160775587,66562.8563283896,47113.79862828087,13652111.463647876,6303391.150873953,5170623.697182695,1034709.3644431161,1512579.383326245,985210.1511763043,1230217.312815711,1708467.3483947662,1244530.455484728,936878.4136403839
3,96,128,39723.44779334756,109853.24245105244,191635.1693734947,155971.45474097074,159490.11242546802,218145.8860133978,280653.2688857035,299853.9584476979,283676.5288787411,260252.35862628758,245968.06688919629,240049.95571549574,232926.71050435008,216636.6728745537,189738.81416280151,156096.33441047487,121331.51883405857,90035.15727075524,64646.87283983209,45630.21104727989,13414557.350688279,6224826.64041975,5083707.251898706,1004031.4608419078,1484482.2367786048,993672.9598583585,1256214.077938724,1759415.788659798,1375379.683139433,1199102.8376680282
4,128,160,38868.648822438096,105548.99579821568,179984.36454398965,148480.76569614874,156476.50623815876,217332.8158728288,279468.71063156176,297443.2483246232,280206.464130271,255887.54897037585,240699.58987937353,233954.10699447998,226336.06496008806,210043.722701607,183595.2148552307,150690.3618012089,116776.81612703101,86317.16427164208,61677.83525209459,43291.67480516375,13030690.286951113,5991160.612513567,4854264.292475144,989932.1449105658,1492597.466016002,1002815.7525423196,1185163.2342704623,1651235.3948180506,1260032.8270714397,1001533.8322441083
5,160,192,39395.525982120045,111692.84285417489,189840.38047741624,154013.61729565778,159134.69520246808,218006.70720109178,279564.79344732757,297868.1160907696,281105.0134329405,257212.218947909,242556.71708231384,236405.49724758547,229173.59021793923,212860.459901677,185992.2311570977,152411.64664701253,117736.56289442757,86568.06048064596,61360.09540234836,42579.87742396573,13283197.131136026,6125374.178380455,5142479.890682338,1034129.8834504345,1447163.4957131348,975790.479651969,1282149.1796341448,1790975.9653919155,1272067.6034664225,894356.4719044896
6,192,224,41512.398782045995,108443.29044365948,183035.11606545007,146610.5171458547,152991.71921579432,212652.2360101008,275178.3876036882,295527.0092686422,281459.99383759935,260306.96385009392,247715.52194879352,242377.05659006131,234682.87736915483,217082.33593216355,188676.95325245243,153756.40221496922,118166.25336442504,86532.77222647329,61204.484765566456,42498.30813967941,13095815.63242897,5934857.910802883,4983982.721664864,1006896.8287310818,1508626.3088118683,1008525.4302445926,1305819.0590636116,1757810.6428657263,1289498.2457213614,1030078.3612721347
7,224,256,46063.345329662254,104267.82447794592,178456.67345113785,143801.9502630689,149852.03059359943,209013.95609121662,271553.4508801374,292524.650073402,278983.62534654414,257654.93247689138,244280.48626256312,237995.4884215037,229558.97958923408,211616.44618746123,183322.09579091545,148896.06816937806,114032.4007997384,83190.48472661761,58594.180287623356,40498.718298852706,12372254.496733794,5786189.828343393,4793923.5928632505,994606.0711035872,1547210.1819486776,1090557.5903194982,1630264.3779389611,2321395.0347952135,1724872.1193981732,1445945.4995668128
8,256,288,39955.13670345693,113126.63783594848,191547.15523041476,151614.4272039292,155505.61530359674,215310.5426886316,280104.6022397374,303233.6797981585,291555.4365034734,272304.6380135388,261333.94317651127,257261.3124504343,250074.65747408816,231897.63638026916,201882.23285592132,164694.07872073047,126652.5383299159,92762.93244469262,65581.6855306975,45479.84177364938,13416606.376412824,6159965.681061789,5219640.535834982,1043229.8192636529,1478755.2008409626,1007372.2215808997,1210509.727694734,1614504.6449441486,1176516.633334366,985594.6335276732
9,288,320,40000.43439383597,107566.10030307628,180561.85204027625,145223.0892284062,152593.01466764286,213054.50762652507,276807.7620652252,298905.7702232857,286612.8622087512,266741.2193901527,254854.56328479206,249780.0861896974,241983.80777148152,223911.75064808383,194690.84780568528,158721.46985672708,122016.37885085386,89360.09345958405,63202.098468420336,43891.76327887126,12908198.889124122,5910779.830413984,4937465.941934222,1016067.7477956758,1541367.8888417126,988841.6598362012,1156999.3583014929,1634202.5435319322,1326229.5250315147,1118484.7625100224
10,320,352,38242.095300057255,104613.1962088145,177775.60833366317,147243.3721357568,158270.14055393217,223607.5816188902,291897.0261867113,314972.8230410367,300043.37201234826,276087.540087015,260671.8428237728,253466.01253147618,244772.97216515808,226469.58290667983,197187.38014234268,161066.76391914918,124058.09471362177,90992.05642321434,64397.64353482455,44691.66901613458,13710477.454660943,6045404.5734576415,4808419.767936931,990062.1041935275,1498317.000778773,952938.9484206875,1072188.2027596852,1436111.88120547,1110146.9663250614,806064.5053824799
11,352,384,39828.26563802981,109029.0815798214,185937.3135972626,148527.87413310516,153272.2884104944,211788.3317779761,274059.8612977976,294748.2384264145,280636.23428245995,258575.6359765245,244622.10413584157,238206.7587315157,230168.27124432768,212943.15382626958,185342.5447612421,151329.99689770196,116530.78793757952,85483.9326295311,60545.355517839496,42081.45242306147,12844799.671264017,5938883.9968382865,5010583.815977223,1036432.2632407642,1540121.8327100088,979938.4174952743,1175033.0496006198,1600091.1509212928,1259579.5234226258,1123702.297734253
12,384,416,39874.47066915134,103963.40543167389,177607.3230529358,148501.45653340564,158523.0775226407,219982.14893306023,282981.84843542817,302669.56724857143,287609.1545227014,265437.77541218733,251818.13548372922,245662.39176882664,237636.8439994153,220212.99979311108,192244.4617141172,157700.4104493136,122217.63693266084,90383.35061853938,64631.35128720585,45409.10604817383,13222601.910166614,5987216.083077141,4761364.654777032,1000232.6189466019,1468667.5596166605,999204.9528517296,1304987.1280708078,1814465.917722028,1368930.829238982,1157605.3564380957
13,416,448,40285.71721832088,107408.67344206135,180721.8865911989,147728.98050312727,157157.3113736955,220347.73091216877,286487.7111285569,308718.9629600184,294768.6571151964,272788.43883734744,259099.4695639641,252576.3549139927,243476.46378961948,224182.70226670592,193957.9484016834,157354.34599171276,120408.48151033238,87801.4865778014,61832.97622492452,42728.63336456618,13582883.063724399,6029855.940088757,4936095.898516446,1014230.8251736367,1510522.5713544886,1003571.7568666867,1144151.480038368,1602460.4391401813,1361283.4803381858,1272545.4829582605
14,448,480,39870.89267243508,111112.83940952709,189206.61464186932,153662.22662430804,160855.8079768861,222994.18700995404,287131.0598169351,306951.0553492262,290843.45906350436,267098.2653697134,252142.79935550026,245136.54528213272,236532.9947611813,218582.2925963107,190134.26578916272,155275.1645556865,119716.44154968028,88020.44126713142,62533.5826242669,43611.17273582734,12833949.926864566,6107857.792907761,5107521.724471289,1047551.0727189035,1506209.0734632856,1005439.3281967411,1262715.230767199,1813855.3150351048,1319389.2417862425,970965.8441921058
