nr,start,end,cwt1,cwt2,cwt3,cwt4,cwt5,cwt6,cwt7,cwt8,cwt9,cwt10,cwt11,cwt12,cwt13,cwt14,cwt15,cwt16,cwt17,cwt18,cwt19,cwt20,stft1,stft2,stft3,stft4,stft5,stft6,stft7,stft8,stft9,stft10
0,0,32,277421.0230979762,199858.94654953678,299854.1447260065,222130.4566630136,222114.41095841597,294626.7667183808,365373.23776092124,381937.02183764527,358357.14413845877,328609.3207551449,310799.651290226,302746.49390046095,292510.1311326436,270656.7035254755,235816.8023660209,192994.17922625062,149195.4706235137,110048.42348468231,78478.37797959539,54962.03305230971,16678207.205321992,8895034.821610034,8789019.22530892,2492558.204567345,4676949.058785952,7402134.790128695,19454462.200963482,22773525.512423404,9996981.601851791,6158903.178194846
1,32,64,267132.6519923203,198003.2598322022,296710.318089837,223115.09791891102,224702.69549733723,301018.13502381445,375627.3138446628,393798.48187203787,369425.0042866758,337758.9562367486,318138.7112473929,308942.98333170963,298222.72613501735,276266.90243358625,241408.60895345718,198455.36734598954,154339.45693626453,114704.26463556052,82536.55447223954,58385.16475525619,16656880.271600755,8855449.394256251,8627569.97249167,2616760.908392981,4973975.980522139,7071797.718173525,17814071.179442123,21873284.189304356,9940256.626321249,6147109.876510149
2,64,96,252766.4340943426,194500.56178294064,300652.52178682265,231151.6477097812,232684.4697163411,304960.39042179217,374722.84779752244,389812.6421544672,363809.44325912354,330807.1393391411,309247.3829025791,297652.8666956236,285060.9915881836,262612.2934169652,228741.66180874244,187747.2783741498,145898.20881859507,108355.4085478626,77893.65882874111,55049.1600861089,15997455.208674131,8974544.639686758,8503982.57936253,2532313.2083762162,4689229.908664939,6553649.2947013285,17018240.628056895,18700760.90175709,7211111.372455932,4284304.687734226
3,96,128,246510.9887655935,210556.48084682028,318306.3884696747,235353.3176921251,235154.25497770272,311666.12440612144,387872.0454865113,408288.4881526986,385470.3914743822,354333.40765232476,334113.15539677266,323126.1783569259,309764.5642049329,284942.1995729718,247515.01409716235,202532.1643033009,156944.53679376587,116316.02048676385,83537.8263913995,59075.171014013846,17225109.054499596,9447416.126940956,9331111.987836346,2588308.4623455047,4505228.387693001,6411021.486516792,16650583.191793423,19716662.700943884,7854924.351369814,4686161.804877596
4,128,160,240569.1387097125,211551.7281189834,317228.1359548362,228405.45048790573,224623.93035410414,296066.67160287325,367253.4526585111,385725.1529407818,364244.650222068,336315.78651049506,320323.71112622373,314191.78495104535,305683.9277846099,284911.50255307334,250181.30774602646,206464.23821876023,161008.94720868414,119822.33905266612,86193.06817958939,60851.71439565305,16892143.756697603,9174752.758102663,9364386.788377523,2605994.2287467523,4514335.1033208,6118501.590477926,17124229.76025616,20578630.467377897,8687461.562131684,5290817.971124611
5,160,192,261239.27643169987,210777.07133725652,313958.2979627181,228791.28413023156,229010.11808018436,306066.1380087624,382277.99062246765,402861.4039456312,381353.3282426912,352633.76849333826,335427.94200010976,327434.5264066872,316442.9588454796,292981.8027811509,255853.66159320157,210323.12042994716,163676.14957996676,121797.21197080021,87809.05917946575,62303.16660408815,17696263.814788334,9279117.363436822,9331846.247217238,2668877.1405452974,5003274.13377777,6835744.470776988,17562842.00546856,21180702.948043473,8122920.946302052,4445493.394175087
6,192,224,247014.11023789505,215406.90271222626,330319.2579864139,242277.11755305598,237354.62156247004,314871.254451292,392375.3705485559,412355.39085755515,388700.17777550657,357561.6028546673,338136.39842647844,328053.38678062544,315049.9535739145,289741.76354099123,251097.10591880174,204545.0272615825,157457.95524128113,115684.8278983546,82205.03373317736,57417.20034283887,17985577.330432437,9699346.305612627,9543558.126491241,2621669.3275223854,4389042.221276308,5888954.284123676,16258709.544110632,22484598.189443085,11184612.360992692,6719859.40068083
7,224,256,246403.46114175706,215580.45010102302,329606.8757960369,249263.7037069751,250071.39005657675,327622.60622634867,401860.2416153387,416827.5991600144,388072.12745634554,352738.52529003465,330553.2541248069,319392.726005471,306876.08980430034,283209.996605975,246832.6130624962,202650.98080843518,157619.61589534982,117343.24361729377,84748.21130946725,60327.631740168115,17747409.270318817,9761383.317283902,9519038.15131268,2725840.257125393,4631106.62288631,6293565.926738943,15864759.095534258,18852332.193663727,7912991.368159471,4428735.708384989
8,256,288,236474.75762448477,215168.45812512413,323976.7172518398,238396.80711444703,240411.41132884694,319602.78693733644,392237.54123408615,404288.30131514143,373338.63585298735,336473.79379095894,312948.65979536803,300938.10703431757,288654.62421185774,266473.877922754,232462.13506685707,190932.56766323428,148348.90559972695,110064.99234555631,78967.13040255118,55623.90509643039,17376451.485740203,9521073.927514978,9506376.8931712,2696178.5760761322,4443023.041158647,6149764.171768794,16621665.019899977,19717958.694602188,7128025.299229551,3752883.20228611
9,288,320,241622.65001199392,202162.7124717947,304682.5662444472,226695.42620557148,226653.3949562199,301220.3179473197,375364.3690569896,395340.0544290923,373584.22354627965,344444.99318682664,326950.30935178744,319121.36372280354,308709.22415110125,285974.3872319984,249497.75248325118,204496.11144792222,158324.1690509074,116939.91784461561,83483.08492141667,58509.97793798126,16877886.053190563,9060897.61846648,8880000.431368235,2580661.815527522,4617027.844686482,6111739.247587859,15790223.003404472,19954061.656397767,8757730.786450652,5058618.040411094
