nr,start,end,cwt1,cwt2,cwt3,cwt4,cwt5,cwt6,cwt7,cwt8,cwt9,cwt10,cwt11,cwt12,cwt13,cwt14,cwt15,cwt16,cwt17,cwt18,cwt19,cwt20,stft1,stft2,stft3,stft4,stft5,stft6,stft7,stft8,stft9,stft10
0,0,32,36524.32322473176,109668.21674025158,187240.40098264287,153903.52313426492,162415.38241294105,226036.68245434223,291473.00356965273,311414.5303501537,295088.25313405774,271435.0372139815,256702.059841039,249599.4026858619,240322.11243850747,221175.33741121078,191287.12300165443,155074.4127391623,118492.72495074061,86200.4606386845,60504.99414841976,41644.04775272323,13306899.522838492,6164296.196508928,5056260.777188545,1008838.9626665023,1486814.1857472318,974002.7714548494,880490.7204107752,1276472.7462749705,1044877.937608648,910403.2449934402
1,32,64,38264.9763171174,105635.15163760731,180898.78546447583,150308.03330696252,158811.03881489797,220936.85222599757,286190.74446726084,307298.35320089606,292039.90076283534,268696.2407961075,253620.93685600205,245869.99820817926,235984.811175912,216494.90727547562,186593.18111513497,150652.7831981785,114541.91569806018,82826.17192121789,57731.48247608208,39434.065592565166,13354866.348395467,6024432.786675934,4879273.713007252,978250.2457865829,1442954.0852035584,1031836.2065466787,1138229.9547491302,1483686.4433939594,1106575.0651612303,847411.1902853373
2,64,96,41304.07098000269,113694.87903094493,196042.0751669213,162573.2155402877,168601.05148862532,230482.16662470464,295988.8469281871,317156.7541449869,301894.6321438196,278686.2021730404,264132.765778445,257352.95289942843,248610.23465987394,230015.42718559067,200446.70128345818,164159.51801305215,127083.63624441512,93964.01383097876,67252.06929937917,47332.70625438985,13723883.658392012,6401366.345986944,5235379.966974367,1049258.9894350895,1529329.4621250043,1110723.516444512,1228888.3823515128,1779568.2695254516,1533730.4056241964,1217912.663001319
3,96,128,36435.018841776306,106751.39682844601,186338.74339868553,152222.51911423204,157002.66327270062,215958.72415129605,278295.4066524204,297580.1742613675,281584.81433730817,258168.76847661423,243518.12612200962,236660.42618698307,228060.5164996595,210108.54485130482,181828.64039906455,147421.79078765828,112613.8686721115,81892.07005350778,57479.340660706366,39606.01373863845,13007613.747563507,6033200.598336354,4924109.95672208,974599.8213525004,1441267.0689657147,1029466.9450978707,981348.9494036713,1356576.4942004038,1337602.0239551642,1197032.1185980944
4,128,160,40359.515565511945,108986.44090249825,185128.3556761143,152970.2048605815,163258.623975771,226322.5572605613,289788.02918481687,307066.574075585,287962.1748141043,262031.6246957287,246061.21856488945,238966.429917861,230680.30059400375,212982.10585492232,184530.9676905863,149500.91714254327,113811.44210033031,82190.13305558605,57028.567398068095,38619.656764268235,13098432.765367731,6027951.534067701,5025942.261725675,1001146.6516419284,1513098.0876149165,1055927.0322290785,1067206.8889833833,1443497.516287157,1234676.5671810624,1088395.1178427683
5,160,192,38957.86896922012,109456.04932382933,186734.1021171289,151281.20364557373,159328.71881911714,222272.96024154694,286406.88312828424,304861.4377492038,287054.74223185686,261964.1271887113,245901.10514740678,237838.90798638816,228344.9312367398,209930.00798827916,181611.6501056421,147452.3682035311,112990.58173182175,82560.32447455065,58303.96345741578,40438.9463209539,12690189.645864667,5977699.006991879,5048767.691118015,1014390.9262994776,1474659.0157852853,952042.1691430649,1147418.9686541848,1783436.434281646,1454825.4062515325,1203365.6440838047
6,192,224,37544.4752300025,108229.12485935212,185722.21224195443,152566.8013750404,159029.7311442245,219975.35349034134,284552.9674877868,305188.59844815027,289307.76957749843,265103.5932651993,249167.76547737105,240818.38771399186,230734.7618928808,211474.09713597255,182167.8400971586,147052.3079376109,111826.10028909866,80909.90833111574,56446.57667612999,38592.75200182919,13099477.031608151,6061012.043522723,4986360.109970267,1006970.0573014654,1473945.0151633967,958022.9712434866,933057.2566582303,1435218.7975308846,1288115.2066059965,1032821.687878652
7,224,256,40490.62245884322,103785.14200414682,176237.48637076915,144446.23733882167,153967.11777155133,216405.94910286946,280833.8958366421,301275.24806792894,285963.4208376068,263113.93183048064,249009.34322466014,242609.3276885992,234257.70903553828,216222.50816237088,187468.57057242157,152253.53345979698,116455.10818741402,84732.22677186188,59432.32558921942,40839.72704020448,13389977.040083775,5910945.6101446645,4751920.243545948,977227.7613233991,1486009.8918154608,1008777.1058984157,1238237.2185957679,1959846.2992749708,1636585.543832331,1398557.7141884326
8,256,288,39480.22524938252,105773.06389609806,180456.30299723268,149255.03317543105,156580.26306403134,216308.19841568673,278815.2104986319,298361.8907512099,282906.88560138544,260056.45421121182,245888.40037625926,239590.78374835037,231677.56847617793,214347.92684094203,186392.16687627003,151917.69868797416,116715.19937149444,85413.37770620083,60370.81238638427,41907.11979698502,13209481.552188136,6002329.632675071,4855251.33489132,999354.5821106854,1533739.6116383844,1094944.3904070042,1117860.481583051,1481502.0327614935,1200234.9357661973,1009390.5188597274
9,288,320,39942.91569992915,108541.31286565102,181692.24694252692,147349.92616412364,154505.6121938332,215642.63353852532,280480.30211161973,302778.74638587557,289539.09011720895,268062.7245247363,254434.93553555038,247827.33294429883,238965.0957988232,220463.9548087228,191450.68395972083,156147.51571770257,120300.65020631686,88452.6347733617,62905.59802025161,43966.142339507074,13538214.658937281,6028244.565329153,4955547.210788986,1043662.1361693246,1518967.7373361408,1036633.2007046951,1090506.5575345943,1505220.473834403,1371665.4978690417,1137865.3502676748
