nr,start,end,cwt1,cwt2,cwt3,cwt4,cwt5,cwt6,cwt7,cwt8,cwt9,cwt10,cwt11,cwt12,cwt13,cwt14,cwt15,cwt16,cwt17,cwt18,cwt19,cwt20,stft1,stft2,stft3,stft4,stft5,stft6,stft7,stft8,stft9,stft10
0,0,32,127044.43759240999,125151.5292680196,201819.13734151257,166014.89758260438,175678.6777368068,242507.57327630272,309388.57844589656,327308.5523960646,307371.87766401615,280700.4069959623,264764.75163350644,258321.9303807659,250646.95288661952,232898.32778826344,203486.54685919374,166698.48565506263,128757.24977610813,94726.47745775079,67272.84268087916,46867.17584374066,14719865.244065855,6633689.065767608,5535140.21230605,1468855.9503606092,2622287.454378729,2988015.439862411,7915170.304216743,10474950.60941073,5749464.613956802,3229148.2581634596
1,32,64,121140.84452507463,123381.82852054178,201926.7450039248,166915.0881383987,175141.05575181186,240170.85872712795,306463.78144327423,325694.05266557157,307753.3539681857,282767.58500559645,267756.9448274458,261341.93057128284,252935.3683104505,234017.79583633647,203358.05534343544,165525.18348875424,126891.68756804205,92536.36364325878,65048.91678345784,44788.48879976489,14360003.997950578,6636785.223698685,5494989.652288493,1421332.7755795824,2507319.167114001,2802553.880270873,8089945.204752623,11910128.023120722,7221639.068992988,4782764.591620311
2,64,96,131943.1742994724,130487.54727421301,216868.50391386144,179061.10653406655,184467.21134736863,249824.56611284649,317564.77604721166,337393.77434128476,318993.55056746874,292931.0157218366,276743.0817761764,269484.0269992823,260759.91190842682,241950.2549936625,211545.9321198273,173837.00297061756,135038.31146509654,100215.45455028162,72042.85150462358,50998.01793906391,14876095.68803501,7007827.493845549,5818114.206619937,1478793.9144208382,2760965.2313351543,3255333.486594956,7891597.759578828,10686415.910116771,6382854.657113069,3785855.0331926243
3,96,128,124292.28173404427,125965.88103625127,208011.89589198222,172748.43815193794,181089.04071517073,247334.48896738014,316945.4528494276,338994.3684312813,322070.0772838086,297045.3950047055,282011.1618350366,275901.0559697268,267783.2744374543,248671.49395140202,217092.6012850441,177663.92272642304,137012.47656581685,100543.0666395261,71122.08398404846,49271.5295092899,14988761.737401908,6872917.46575625,5619373.1305600805,1431269.7401972949,2549952.7637506565,3121155.0469626943,8107477.013119518,9775662.045911597,5220334.409571429,3457270.8396593495
4,128,160,126760.55422451015,122363.3204981471,200496.6781401595,165516.24481555726,173408.82596027118,239816.49501891574,308727.71845562174,329616.8327017063,311843.3558584546,286311.1890913055,270817.9524691324,264230.8939458202,255837.74007810542,236940.65283204956,206232.120385982,168287.723655035,129506.89142309202,94981.3723350316,67298.15699011476,46810.70748193336,14279983.412374154,6559850.104117679,5445667.518475426,1391317.2747789915,2574558.745985031,3182128.1607236317,9043667.14580557,11006146.497298619,5459781.4561816,3011395.171090207
5,160,192,131682.47910532687,128872.88211924414,208314.49330688227,166513.49388885207,175429.20483683702,244984.66605394706,315752.7400790777,336916.39844689943,319001.54614661046,293486.0144728602,277777.3577320401,270323.0731944402,260541.60797841434,240189.3663235035,208317.75642334227,169606.75922330545,130380.88324644107,95608.19177917419,67782.17515267839,47208.89229518621,14549768.4557987,6694801.305892339,5768073.931180779,1423836.9342405864,2620761.6973780864,3399864.4177719657,9533229.370615205,11218174.155106151,5145791.984652503,2788012.5174556384
6,192,224,132541.86584948047,123345.5990963789,199301.59811554605,162802.39168730206,170823.94718526545,235674.99116349997,303190.12639833335,324604.52331238525,309054.380593766,286291.90365352796,273136.33960733813,268029.66712262173,260306.81686364557,241489.22708401142,210446.296982348,171875.93550633918,132300.98767813735,96950.88576445587,68535.80796511474,47486.88601024764,14190240.748807982,6517765.113412529,5468332.4692168925,1443398.1632182172,2619730.6611875985,3228568.2679892145,9247708.900324617,10808964.956229331,4906614.419492921,2542226.4680132
7,224,256,133083.19430080874,126024.13859286686,202359.63242339535,166052.92434307633,176775.02591080716,246334.9253565387,316916.5287402152,337853.5878885773,319434.8425690301,293353.45581430284,277711.3835185962,271310.0245461286,263135.06476019754,244148.36634668853,212856.22890775665,173869.52248553708,133783.53292458368,97934.76658437545,69109.06700282391,47766.55087276839,15370907.53232773,6759639.400188254,5561796.848135996,1500189.564985385,2752001.7795554944,3242696.6713258973,9444628.226155717,11013066.133689068,5154343.139143846,2966045.128650557
8,256,288,123257.11252675795,119750.87546899346,196619.59202502327,162941.70540607843,170950.4101143795,235101.2864903492,302647.963216976,324910.60592963983,309959.456354256,287167.3208883345,273826.3656881471,268935.7466042148,261968.06819771507,244186.83799778714,214090.48971661145,176121.73033154203,136732.85490835508,101222.69870575373,72430.11449065903,50910.817022480485,14686871.95702755,6611284.855874215,5334281.027919246,1381486.0679917494,2747175.971681775,3200409.8260976393,7714525.755131555,9915762.33397817,5140223.406222029,3155714.8182357214
9,288,320,115460.27478740484,124330.47205459562,200838.7883167224,160599.7182814327,167714.80560330366,233075.44923811036,302349.42811089935,326291.83313324454,312601.2008741117,290839.77615086024,278493.6968946309,274300.3177561257,267318.41692311614,248676.71795900233,217105.67149085266,177463.8731196808,136583.55443389178,99983.90800947035,70551.87795418159,48772.20952558018,14197078.086796869,6499984.889914484,5539200.009833752,1410368.1358093088,2523245.5051203556,2692251.1605978636,7194867.489927758,9498641.2084399,4963297.539988008,2663154.043250977
