nr,start,end,cwt1,cwt2,cwt3,cwt4,cwt5,cwt6,cwt7,cwt8,cwt9,cwt10,cwt11,cwt12,cwt13,cwt14,cwt15,cwt16,cwt17,cwt18,cwt19,cwt20,stft1,stft2,stft3,stft4,stft5,stft6,stft7,stft8,stft9,stft10
0,0,32,248781.41284934356,207264.09994369152,316021.86731905903,228869.1755775551,226220.2855856711,299933.2004120398,370583.1717565504,385321.3460311983,359207.3030490587,327129.2992601292,307317.52205088123,297723.7309706994,286807.15716314834,265368.3599195017,231855.06774852073,190807.0438177614,148748.71049175804,110984.6431109042,80321.56444869863,57277.19796336974,16118408.713139111,9005220.4272783,9182677.760878889,2550978.822661416,4635579.28884501,6424664.365522222,17241508.912314642,19831793.19444638,8396095.758237453,4691461.555956185
1,32,64,236452.07694976678,186244.44176049245,283431.72564685566,212925.95009906436,218167.72955127058,295577.31305631995,369929.0510736594,387927.99413621856,364308.32522568747,334255.23536386027,316329.0545625519,308319.9890602426,298206.24436455464,276452.6872080359,241565.28209101775,198472.79576013424,154198.3168662047,114449.7570835939,82245.88476995632,58137.32961366818,16553985.697909305,8545022.977818647,8190889.581845912,2339171.027938327,4316829.679172005,6104949.240333452,16326239.291307347,20173892.940200403,8794387.725934172,5088233.9791726
2,64,96,210901.6296887153,192208.91309163524,295238.6065006057,224728.32902789296,228263.89245259567,299803.82056704443,367665.0894709911,382107.25384218997,357545.0971574376,327678.40822375944,310128.8995353764,302473.0773630298,292980.1943104966,272433.43610566773,239309.79948718287,198177.1855279181,155622.62632211507,117068.59751552292,85472.16917255869,61494.68917147043,16638293.195295794,8947895.437654486,8498989.631578892,2330852.2778533315,4067410.8856484685,5380026.695731974,14213258.832327027,17261742.975477308,7714905.024565565,4526548.000654862
3,96,128,242640.6049369135,192837.04542130217,301795.35928725795,225863.36491814564,221607.24604032765,293133.3960346318,366813.6886842772,387420.6220520419,366639.69885020994,338408.14089506527,321445.0700395518,313854.4166340511,303787.72966716107,281851.72455262055,246661.0242937897,203182.8544752158,158434.51008449262,118125.01835294627,85304.7992575244,60576.2084558745,17127109.737479102,9083961.351846442,8558899.551645573,2314401.3839123854,4300232.9241214,6618395.434109325,17650054.205078375,21675427.74909707,9397388.71010689,5219825.836620808
4,128,160,243039.89406262673,194286.08514067574,291774.89434145007,216133.48515440593,218149.7910129366,291584.87183528405,363310.8289594652,380852.1876081737,357272.04659445444,326624.21912169096,307504.1389136743,298122.8231170689,286935.75135340804,264814.6037771832,230426.41318166503,188559.37245570545,145913.29761993283,107862.37233261822,77191.8260309169,54342.540295988714,16060830.394125853,8609275.612968732,8542578.457039353,2448370.416642197,4476283.730064406,6225258.385484595,15924888.033467446,18269266.015931837,7263621.657755659,3843082.5991588584
5,160,192,211039.21874286266,185415.30952542496,284102.289992683,211252.29482412923,212295.55053969554,285060.1559406823,358652.49181692995,379424.0656582951,358159.7816129026,328118.97662920976,308332.8569824895,297661.4176041336,285067.99673004675,261817.05558391497,226842.3277682312,185005.13993873826,142878.1033104268,105595.15785933785,75706.1007994121,53499.72128927461,15499538.400323315,8423791.60487868,8191271.837415272,2262237.29366667,4068020.565411708,5480542.875461731,13884179.272703368,16796729.01098964,7186644.13939943,4611739.355040592
6,192,224,215317.68083262755,197280.17191582677,297940.33969432994,218728.16185300422,222116.6932773874,299976.0776227135,373705.12779311225,389065.4125340402,361547.07317257294,327233.0635675594,305006.0402924852,293070.28350755735,280281.18597188935,257851.30565705948,224318.61390860626,183976.7010838138,142982.37523438348,106339.6020930625,76687.73336068552,54488.141202420375,15806781.044908358,8771368.482111767,8752638.89684344,2394014.81028941,4084967.400319747,5344830.335793758,13948198.251415499,18645836.49422222,9406101.958359621,5983290.398592114
7,224,256,207524.17330021714,196459.45717578835,297881.87185845216,221726.49017572848,219468.1852669044,287666.3110016353,353381.92000763316,365594.665571555,338229.5364219311,304742.93007596396,282932.0752597697,271236.04898562754,259114.77517720018,238178.2702003253,206981.71810234973,169524.18585047236,131537.62746173158,97648.97462797188,70267.79775779392,49783.45185441642,15822029.665903784,8714974.01272716,8700571.040930996,2365320.755849414,3855395.4582431507,5448606.44588974,14964023.475207675,18419364.55584772,8288887.693322618,4884363.544613766
8,256,288,231665.19010787812,202155.58704418672,303127.1114079485,223196.20984987536,222296.08777950192,293214.26789345255,361582.4635133286,377034.5723246335,353578.408365018,324285.10658220126,306610.2920254512,298454.94209636195,288438.37089137564,267507.3099107933,234193.84565891957,193098.0375202407,150817.5999303237,112743.49567905325,81759.86885188836,58435.194299786475,16572642.396013936,8914521.866605263,8894588.50453055,2494881.488582159,4244404.123037448,6103487.24072126,15958096.12303966,19744737.134173304,8896322.263838006,5322707.700842379
9,288,320,228618.3176637685,197398.37906071395,298141.39941050985,226507.37317734168,231712.52040005836,309770.99869470106,385238.1678738395,403663.6952435867,378288.0084129546,344790.6522789563,323313.74002352107,312605.4727410628,300752.05215305305,277936.06458484876,242334.10298793626,198651.47672548602,153830.60489457543,113601.36458600836,81036.64321061439,56720.234004250546,17201447.79112245,9117148.206614928,8678326.470146744,2413877.0517912013,4093602.4492652672,5736729.00399867,15823050.407273203,20307758.99822104,9483751.697024334,5678797.491841494
